article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
b3bf9cfa-b867-4a11-ba2a-a62b3155c383,0,The article neutrally reports a speech by a BNP leader who heavily criticizes Jamaat-e-Islami. The article itself does not adopt this negative framing; it merely provides objective coverage of the political event.,-1,"The article frames Jamaat-e-Islami through highly derogatory language quoted from a BNP leader. Jamaat is repeatedly labeled as 'anti-liberation', 'anti-independence', 'Rajakar', and accused of denying the 1971 Liberation War. Although these are reported as quotations rather than the journalist's own voice, they dominate the narrative and associate Jamaat with betrayal of the nation and historical revisionism. The framing is strongly unfavorable but remains within reported political speech rather than direct editorial endorsement.",success,1,0,-1
0fd1155e-f4d5-400b-abaa-5f98386d2f79,0,"The article provides a balanced, neutral report on a political clash. It presents counter-claims from both Jamaat and BNP regarding an armed youth, without taking a side or vilifying Jamaat.",0,"The article presents competing claims from BNP and Jamaat regarding the identity of an armed individual involved in a political clash. Both parties are given space to present their version, and the police emphasize that the matter is under investigation. The journalist avoids endorsing either accusation and maintains a balanced, factual narrative despite the violent context.",success,0,0,0
60847470-2e1a-419c-8ed4-570de7a3f1c9,0,The article neutrally reports a former Chhatra Shibir leader joining Chhatra Dal. It maintains journalistic objectivity by including both the defector's claims and Shibir's counter-statement that he was previously expelled for indiscipline.,0,"The article reports that a former Islami Chhatra Shibir leader joined the BNP's student wing after questioning some aspects of Shibir and Jamaat-e-Islami. It includes the defector's criticism and claims of receiving threats, while also presenting the Shibir organization's response that he had previously been expelled for disciplinary reasons. The reporting remains balanced without adopting either side's claims, resulting in an overall neutral framing of Jamaat.",success,0,0,0
ef578ca6-c567-4b7c-80c4-7852f82b283a,0,"The article provides a neutral overview of the electoral landscape. Mentioning Jamaat's historical inability to win seats in the region is a factual statement, not a negative framing. It gives fair space to Jamaat's candidates.",0,"The article is a constituency-based election report describing candidate selections, organizational activity, and electoral prospects. Jamaat-e-Islami is presented as a legitimate electoral competitor with factual descriptions of its candidates and campaign activities. Although it notes the party's lack of previous electoral success in the district, the reporting is descriptive rather than evaluative and contains no significant positive or negative lexical framing.",success,0,0,0
275d0fb4-617a-4186-a6ee-b5684147a81a,0,"This opinion piece offers a balanced political analysis. It highlights Jamaat's strengths (corruption-free image, disciplined leadership) alongside its vulnerabilities (1971 history, ideological rigidity), resulting in a neutral framing overall.",1,"This opinion article evaluates Bangladesh's major political parties and repeatedly attributes favorable qualities to Jamaat-e-Islami, describing it as disciplined, comparatively less corrupt, organizationally coherent, and benefiting from the moderate leadership of its current Amir. While the author also notes structural weaknesses, ideological limitations, and the unresolved legacy of 1971, the overall evaluative balance portrays Jamaat as relatively well-positioned and positively differentiated from competitors. The dominant framing is supportive but not glorifying.",success,1,0,1
932ec0a7-2111-434d-9a8d-282ab11b36e4,1,The op-ed frames Jamaat as a highly strategic and formidable political actor. It praises their alliance-building as a 'courageous positive experiment' that successfully expands their influence among the educated middle class and madrasa demographics.,1,"This opinion piece analyzes Jamaat-e-Islami's strategic political expansion and repeatedly characterizes the party as gaining influence, leading a potential multi-party alliance, and increasing its organizational and electoral capacity. Although the article also discusses ideological controversies and possible criticism from opponents, the dominant narrative emphasizes Jamaat's political effectiveness, growing legitimacy, and strategic success. The framing is overall positive rather than celebratory.",success,0,1,1
7b18257f-9e4a-409a-aa0c-ab038e164998,-1,"The op-ed critically analyzes Jamaat/Shibir's student election victories, arguing they sacrificed their core Islamic ideology for votes. The author concludes that while they won the election, their 'identity politics' fundamentally lost.",-1,"The opinion article critically examines Jamaat-e-Islami's electoral strategy, arguing that the party has compromised its ideological commitments in pursuit of votes. It repeatedly contrasts Jamaat's Islamic constitution and long-term objectives with its more liberal campaign tactics, portraying this as ideological inconsistency and suggesting that the organization has 'won elections but lost its politics.' Although the analysis acknowledges electoral success, the dominant framing is skeptical and critical rather than neutral or hostile enough for extreme negativity.",success,0,-1,-1
62c50433-9310-4e86-8cf3-f1142d7dfd8d,0,"The op-ed objectively analyzes Shibir's student election victory, attributing it to meticulous long-term planning and the strategic failures of rival groups. It analyzes their competence neutrally without ideological praise or vilification.",1,"The article presents Jamaat's student wing as disciplined, strategically organized, and effective in long-term political planning. While it notes liberal image-building and acknowledges minority distrust toward Shibir, the author ultimately attributes its success primarily to organizational preparation and the failures of rival groups rather than manipulation or extremism. This results in an overall mildly positive framing of Jamaat's political competence.",success,1,0,1
cc12ed39-03bc-4279-a8f4-28b2c6c85412,0,"The op-ed neutrally analyzes political dynamics, observing that Jamaat successfully utilized its association with the NCP to wash away its 1971 stigma and establish itself as a powerful 'second party'.",0,"The opinion piece discusses Jamaat-e-Islami mainly as a strategic political actor within evolving alliance politics involving BNP and NCP. It notes that Jamaat benefited organizationally and electorally from cooperation with NCP while also mentioning its controversial Liberation War legacy through attributed statements. Overall, the article evaluates political strategy rather than morally praising or condemning Jamaat, resulting in a largely balanced framing.",success,0,0,0
4f5049a4-5022-4ce3-876d-ad39a5048a66,0,The target identity (Jamaat-e-Islami) is completely absent from this article. The article solely discusses internal conflicts involving Awami League and BNM candidates.,0,"Jamaat-e-Islami is not mentioned or discussed in this report. The article focuses exclusively on electoral dynamics involving the Awami League and BNM in a constituency. Therefore, the target identity receives no meaningful framing.",success,0,0,0
