article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
5cf145ac-2888-45e4-821f-728e9745b826,0,"The article neutrally discusses Bangladesh's diplomatic stance at the UN. The Rohingya are mentioned factually as refugees fleeing atrocities, framing them neither negatively nor overly positively, but as a humanitarian reality.",1,"This report on a UN Security Council speech mentions Rohingya refugees factually, noting Bangladesh has sheltered over 1.2 million fleeing atrocities and that 20,000 more recently crossed the border, exceeding capacity. The framing presents Rohingya as victims of violence in Myanmar and casts Bangladesh's hosting role sympathetically, but this is conveyed through the official's quoted statement in a diplomatic context rather than the reporter's own commentary on the Rohingya identity itself.",success,1,0,1
b8fa2277-215c-488c-9389-41994b6d1b91,-1,"The article heavily frames the Rohingya presence as a massive environmental and demographic threat. It explicitly blames them for the destruction of forests, wildlife, and water tables, and argues that building permanent infrastructure will stubbornly anchor them in Bangladesh.",-1,"This report on an NGO press conference frames Rohingya presence primarily through the lens of environmental damage (deforestation, landslides, water scarcity) their camps have caused, and argues permanent infrastructure would make Rohingya refuse repatriation. While not explicitly hostile, the framing centers Rohingya as an environmental and policy burden rather than as people with agency, giving a mildly negative cast via the emphasis on problems caused by their presence, though this stems from quoted NGO positions rather than the reporter's editorializing.",success,0,-1,-1
daa6e17c-c88d-480c-aefc-b5e7253c7916,-2,The article explicitly frames the Rohingya as criminals and a direct threat to the local host community. It labels them as 'terrorists' and extortionists involved in violent armed abductions.,-2,"This crime report explicitly identifies the armed kidnappers as Rohingya nationals and repeatedly references 'Rohingya militants/criminals' (রোহিঙ্গা সন্ত্রাসী) demanding extortion from local businesses, attributing the abduction and violence directly to this group. The consistent framing of Rohingya as armed criminals/extortionists engaged in violent crime against a local Bangladeshi victim constitutes an unfavorable, threat-associated portrayal.",success,0,-1,-1
bc279ddc-644c-4f51-a1b7-856b19f37068,1,"The article sympathetically frames the Rohingya as an 'oppressed population' (নিপীড়িত জনগোষ্ঠী). It highlights their humanitarian needs, lack of education, and the positive efforts being made to support their children's future.",2,"This report on an NGO's education and healthcare initiative for Rohingya includes strongly sympathetic quotes describing them as 'the most persecuted people in the world' living inhumanely, framing their plight in terms of justice, accountability, and moral obligation. The overall tone, while largely relaying activists' quotes, is compassionate and humanizing toward Rohingya as vulnerable refugees deserving support.",success,1,1,1
188fd699-2a20-4433-b4d6-c845b25c85e1,0,"The article is a factual crime report about armed militant groups (ARSA vs RSO) clashing inside the camp. Since Rohingya individuals are presented as both the victims and the perpetrators without vilifying the entire ethnic identity, the framing remains neutral.",-1,"This crime report details an armed-group killing within a Rohingya camp, explicitly naming Rohingya militant factions (ARSA, RSO) as perpetrators and victims, and citing statistics of dozens of Rohingya killed in inter-factional violence over drug trafficking turf. While factual and sourced to police/camp leaders, the cumulative effect of detailing repeated Rohingya-on-Rohingya militant violence, camp terror, and criminal networks casts the community (via its armed factions) in a negative, threat-associated light, though ordinary residents are also depicted as victims living in fear.",success,1,0,-1
fc93a346-ce0e-4a07-8d0b-f73a24b2428e,0,The article neutrally reports on a cross-border incident in Myanmar where a Rohingya youth was shot. It provides factual geopolitical context about the civil war without negatively framing the Rohingya people.,0,"This report describes cross-border fighting in Myanmar between Rohingya armed groups (ARSA, RSO) and the Arakan Army, with a Rohingya youth wounded and local Bangladeshi residents living in fear from stray gunfire. The framing is factual/geopolitical, treating Rohingya armed factions as one party in a broader regional conflict rather than singling out ordinary Rohingya for blame, keeping the tone largely neutral-informational.",success,0,0,0
b74c8415-2a12-4cb1-8c88-308975684159,0,The article neutrally reports on the Home Adviser's visit to the camps. Pledging to take action against armed/terrorist groups is standard state security discourse and does not inherently vilify the entire refugee population.,0,"This report on a government camp visit discusses plans to act against 'armed and terrorist groups' in Rohingya camps, but also includes an advisor's sympathetic framing that Bangladesh has given humane shelter and that the international community bears responsibility for the Rohingya crisis. The article balances security concerns about armed elements with humanitarian framing of the broader refugee population, resulting in a largely neutral, policy-focused tone.",success,0,0,0
5b16ca28-3ecc-41ca-95c1-1443e206317a,0,The Rohingya are only mentioned once in passing as one of the many sectors receiving USAID funding. The article is entirely neutral toward them.,0,"This opinion piece on USAID funding cuts mentions the Rohingya crisis only briefly as one of several sectors affected by reduced foreign aid, without any characterization of Rohingya people themselves. The identity is essentially incidental to the article's main focus on development funding.",success,0,0,0
11f3ff06-63d5-4a1e-91c8-59b42c798d54,0,"This is a geopolitical interview focusing on Myanmar's civil war, China-US competition, and border security. The Rohingya repatriation is mentioned factually as a strategic challenge, carrying no emotive framing.",0,"This geopolitical interview discusses the Rohingya crisis primarily as a diplomatic and security challenge for Bangladesh, referencing repatriation failures and regional power dynamics. Rohingya people are framed as a policy/security issue subject of diplomacy rather than as individuals characterized positively or negatively; the tone toward the identity itself remains analytical and neutral.",success,0,0,0
5f734510-4b93-4ba0-823a-702c5f8668fa,0,The article neutrally reports on a protest by local Bangladeshi teachers who were laid off from Rohingya learning centers due to UNICEF funding cuts. The Rohingya are merely the context for the administrative dispute.,-1,"This report on a protest by dismissed Bangladeshi teachers includes their allegation that Rohingya and outside teachers were unfairly retained while local teachers were fired, calling it discriminatory ('বৈষম্য'). This frames Rohingya (as beneficiaries of retained jobs) in a mildly negative light by association with perceived unfair preferential treatment, though this is a quoted grievance from protesting teachers rather than the reporter's own framing.",success,1,0,-1
