dataset,model,gold_file,pred_file,gold_rows,pred_rows_success,merged_rows,valid_rows,coverage_vs_gold,mae,accuracy,macro_f1,category
apolitical_relgious_hefajot,claude,gold_standard_hefajot.jsonl,claude_sonet_5.jsonl,18,19,18,18,1.0,0.0,1.0,0.2,apolitical
apolitical_relgious_hefajot,gemini,gold_standard_hefajot.jsonl,gemini3.1_pro_ext_hefajot.jsonl,18,18,18,18,1.0,0.0,1.0,0.2,apolitical
apolitical_relgious_hefajot,qwen,gold_standard_hefajot.jsonl,qwen2.5_7b_hefajot.jsonl,18,17,17,17,0.9444,1.2941,0.1765,0.06,apolitical
apolitical_relgious_iskon,gemini,gold_standard_iskon.jsonl,gemini3.1_pro_ext_iskon.jsonl,8,8,8,8,1.0,0.25,0.75,0.1714,apolitical
apolitical_relgious_iskon,claude,gold_standard_iskon.jsonl,claude_sonnet_5_iskon.jsonl,8,8,8,8,1.0,0.375,0.625,0.1538,apolitical
apolitical_relgious_iskon,qwen,gold_standard_iskon.jsonl,qwen2.5_7b_iskon.jsonl,8,7,7,7,0.875,1.7143,0.0,0.0,apolitical
apolitical_religious_tablig,qwen,gold_standard_tablig.jsonl,qwen2.5_7b_tablig.jsonl,9,8,8,8,0.8889,0.25,0.75,0.3214,apolitical
apolitical_religious_tablig,gemini,gold_standard_tablig.jsonl,gemini3.1_pro_ext_tablig.jsonl,9,10,9,9,1.0,0.2222,0.7778,0.3,apolitical
apolitical_religious_tablig,claude,gold_standard_tablig.jsonl,claude_sonnet_5_tablig.jsonl,9,10,9,9,1.0,0.5556,0.4444,0.1455,apolitical
cultural_chayanot,gemini,gold_standard_chayanot.jsonl,gemini3.1_pro_ext_chayanot.jsonl,12,12,12,12,1.0,0.1667,0.8333,0.28,cultural
cultural_chayanot,qwen,gold_standard_chayanot.jsonl,qwen2.5_7b_chayanot.jsonl,12,11,11,11,0.9167,1.0909,0.0909,0.0364,cultural
cultural_inkilab_moncho,gemini,gold_standard_inkilab_moncho.jsonl,gemini3.1_pro_ext_inkilab.jsonl,12,12,12,12,1.0,0.0,1.0,0.2,cultural
cultural_inkilab_moncho,qwen,gold_standard_inkilab_moncho.jsonl,qwen2.5_7b_inkilab_moncho.jsonl,12,9,9,9,0.75,1.1111,0.2222,0.0727,cultural
cultural_udichi,gemini,gold_standard_udichi.jsonl,gemini3.1_pro_ext_udichi.jsonl,14,17,14,14,1.0,0.0,1.0,0.2,cultural
cultural_udichi,qwen,gold_standard_udichi.jsonl,qwen2.5_7b_udichi.jsonl,14,17,14,14,1.0,1.3571,0.1429,0.05,cultural
demo_pahari,gemini,gold_standard_pahari.jsonl,gemini3.1_pro_ext_pahari.jsonl,10,10,10,10,1.0,0.3,0.7,0.281,demo
demo_pahari,qwen,gold_standard_pahari.jsonl,qwen2.5_7b_pahari.jsonl,10,6,6,6,0.6,1.8333,0.1667,0.1,demo
