article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
48e25c0b-051b-4b8f-8190-76ab2859e103,0,The article neutrally reports a speech by BNP leader Fazlur Rahman where he strongly criticizes Jamaat-e-Islami. The article does not frame BNP negatively; it merely provides a platform for a BNP leader's political stance.,1,"The BNP leader Fazlur Rahman is portrayed heroically as a 'বীর মুক্তিযোদ্ধা' (war hero) who bravely stands against Jamaat 'রাজাকার' rhetoric despite personal risk and mockery ('জীবন-মৃত্যুর রিস্ক নিয়ে... বললাম'). His party affiliation is framed positively through his patriotic self-sacrifice narrative and defense of Liberation War history, with supporters shown unanimously endorsing his anti-Jamaat stance. The BNP figure is cast as a principled freedom fighter defending national values.",success,1,0,1
43e36592-0b59-4119-904e-d7fb9d11c26d,0,"The article provides a balanced, neutral report on a clash between BNP and Jamaat. It presents counter-claims from both sides regarding the identity of an armed youth without adopting a stance that uniquely vilifies BNP.",-1,"The article presents a balanced 'সংঘর্ষ' (clash) between BNP and Jamaat with both sides making competing accusations. BNP activists claim the armed shooter was Jamaat-Shibir, while Jamaat claims he was BNP; Jamaat's candidate directly accuses 'বিএনপির সন্ত্রাসীরা' (BNP terrorists) of an unprovoked attack injuring dozens. Though presented as contested claims, the article gives voice to serious violence accusations against BNP without BNP's direct rebuttal being included, creating a mildly negative framing through unbalanced counter-response inclusion.",success,1,0,-1
2d162151-25bb-45bc-bbdb-5d2232a90d5e,0,The article offers an objective political analysis of electoral strategies. It explicitly mentions BNP as Jamaat's main rival and neutrally outlines BNP's efforts to form alliances to counter Jamaat's bloc.,0,"This is a detailed, factual political analysis of seat-sharing negotiations among Jamaat and allied Islamist parties, with BNP mentioned as a rival bloc pursuing its own alliance strategy with religious parties. The tone toward BNP is neutral and strategic, describing its efforts to court religious voters and its rivalry with Jamaat as routine competitive politics without emotive or evaluative language.",success,0,0,0
cfac94b4-3c9c-4be0-85cb-a52766960fbb,-1,"The article frames BNP slightly negatively by focusing heavily on internal party dissatisfaction and factional conflicts over nominations, contrasting this instability with Jamaat's organized early campaigning.",0,"The article is a straightforward factual account of internal BNP nomination disputes ('অসন্তোষ'), infighting among aspirants, and roadblock protests over candidate selection across multiple constituencies. While it highlights organizational discord, this is presented as routine intra-party politics common to all parties, described objectively through quotes from various factions without demonizing or praising BNP as an institution.",success,1,-1,0
a02d4440-f75f-4162-90d0-3639eb8cce6a,0,"The article neutrally reports the resignation of a BNP (Krishak Dal) leader. It includes a statement from a local BNP leader downplaying the impact, maintaining a factual and objective tone throughout.",0,"A short factual report on a BNP-affiliated Krishak Dal leader's defection to Islami Andolon, with a BNP local secretary quoted downplaying its impact ('কোনো প্রভাব ফেলবে না'). No evaluative language characterizes BNP negatively or positively; the piece is procedural political reporting.",success,0,0,0
542bebf9-6eb3-4aab-b502-e0521f8a4b4b,-1,The article frames BNP negatively by explicitly alleging that current BNP-affiliated cooperative committee members are colluding with former Awami League members to embezzle funds.,-1,"BNP-aligned committee members are directly accused of colluding with former AL-aligned leaders in ongoing embezzlement ('আওয়ামীপন্থীদের যোগসাজশে টাকা আত্মসাৎ চলছে'), continuing a pattern of financial corruption after the political transition. A named BNP-affiliated leader is accused by name of enabling misappropriation despite his denial. This directly attributes blame for ongoing corruption to BNP-linked actors specifically.",success,0,-1,-1
043ce3af-2073-453f-b122-065fec6ac95f,0,"The article provides a neutral overview of BNP's electoral prospects in Lakshmipur, noting their historical stronghold and quoting BNP leaders confidently without editorializing.",0,"This is a routine, factual election preview describing BNP's historical dominance in Lakshmipur and its efforts to reclaim seats lost during the boycotted 2014 election. Candidates are quoted expressing confidence and campaign narratives without any evaluative framing; BNP is portrayed as an established political force competing normally, described neutrally throughout.",success,0,0,0
a111ffe1-fc99-4b1e-94d4-68a13b06b5d1,0,The article neutrally covers a speech by BNP Secretary General Mirza Fakhrul Islam Alamgir criticizing Jamaat-e-Islami. The framing focuses on Fakhrul's statements and does not attack or negatively portray BNP.,1,"BNP's Secretary General Fakhrul is extensively quoted positioning BNP as the true anti-fascist struggle force, citing massive sacrifice ('৬০ লাখ মানুষের বিরুদ্ধে মিথ্যা মামলা', '২০ হাজার লোককে হত্যা করা হয়েছে', 'খালেদা জিয়াকে ছয় বছর কারাগারে রাখা হয়েছে') while criticizing Jamaat's alleged opportunism and lack of visible resistance against Hasina. The uncontested self-presentation frames BNP as the primary victim and hero of the anti-authoritarian movement, a strongly self-glorifying narrative voiced without journalistic challenge.",success,1,0,1
4cf7e8b4-5af1-4e0f-8559-f84850271d07,0,The article neutrally reports on BNP leader Fazlur Rahman's speech expressing gratitude for his nomination and criticizing Jamaat-e-Islami. It reflects his perspective objectively without taking a stance against BNP.,1,"The BNP candidate frames himself sympathetically as a victim of Jamaat's smear campaign and financial pressure, expressing gratitude to party leadership (Khaleda Zia, Tarique Rahman) for honoring 'গণতান্ত্রিক অধিকার' (democratic rights) of voters by giving him the nomination despite opposition. He reclaims a mocking nickname positively, framing himself and by extension BNP as resilient and principled against external smear efforts.",success,1,0,1
f4bd748d-38cb-44f8-aad9-ff2d62a8123f,0,The article neutrally quotes BNP leader Mirza Fakhrul Islam Alamgir expressing a highly diplomatic and principled stance against mixing politics with sports when asked about Shakib Al Hasan's future.,0,"This is a neutral sports/politics crossover piece where BNP's Fakhrul is quoted giving a measured, principle-based answer explicitly rejecting mixing politics with sports ('আমি কখনোই খেলাধুলার মধ্যে রাজনীতিকে আনতে চাইনি'). The tone is factual and mildly favorable in that Fakhrul is shown as fair-minded and merit-focused, but overall it's largely descriptive reporting without strong evaluative framing of BNP as an institution.",success,0,0,0
