article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
5cf145ac-2888-45e4-821f-728e9745b826,0,"The article neutrally discusses Bangladesh's diplomatic stance at the UN. The Rohingya are mentioned factually as refugees fleeing atrocities, framing them neither negatively nor overly positively, but as a humanitarian reality.",0,"The article neutrally discusses Bangladesh's diplomatic stance at the UN. The Rohingya are mentioned factually as refugees fleeing atrocities, framing them neither negatively nor overly positively, but as a humanitarian reality.",success,0,0,0
b8fa2277-215c-488c-9389-41994b6d1b91,-1,"The article heavily frames the Rohingya presence as a massive environmental and demographic threat. It explicitly blames them for the destruction of forests, wildlife, and water tables, and argues that building permanent infrastructure will stubbornly anchor them in Bangladesh.",-2,"The article heavily frames the Rohingya presence as a massive environmental and demographic threat. It explicitly blames them for the destruction of forests, wildlife, and water tables, and argues that building permanent infrastructure will stubbornly anchor them in Bangladesh.",success,1,-1,-1
daa6e17c-c88d-480c-aefc-b5e7253c7916,-2,The article explicitly frames the Rohingya as criminals and a direct threat to the local host community. It labels them as 'terrorists' and extortionists involved in violent armed abductions.,-2,The article explicitly frames the Rohingya as criminals and a direct threat to the local host community. It labels them as 'terrorists' and extortionists involved in violent armed abductions.,success,0,-1,-1
bc279ddc-644c-4f51-a1b7-856b19f37068,1,"The article sympathetically frames the Rohingya as an 'oppressed population' (নিপীড়িত জনগোষ্ঠী). It highlights their humanitarian needs, lack of education, and the positive efforts being made to support their children's future.",1,"The article sympathetically frames the Rohingya as an 'oppressed population' (নিপীড়িত জনগোষ্ঠী). It highlights their humanitarian needs, lack of education, and the positive efforts being made to support their children's future.",success,0,1,1
188fd699-2a20-4433-b4d6-c845b25c85e1,0,"The article is a factual crime report about armed militant groups (ARSA vs RSO) clashing inside the camp. Since Rohingya individuals are presented as both the victims and the perpetrators without vilifying the entire ethnic identity, the framing remains neutral.",0,"The article is a factual crime report about armed militant groups (ARSA vs RSO) clashing inside the camp. Since Rohingya individuals are presented as both the victims and the perpetrators without vilifying the entire ethnic identity, the framing remains neutral.",success,0,0,0
fc93a346-ce0e-4a07-8d0b-f73a24b2428e,0,The article neutrally reports on a cross-border incident in Myanmar where a Rohingya youth was shot. It provides factual geopolitical context about the civil war without negatively framing the Rohingya people.,0,The article neutrally reports on a cross-border incident in Myanmar where a Rohingya youth was shot. It provides factual geopolitical context about the civil war without negatively framing the Rohingya people.,success,0,0,0
b74c8415-2a12-4cb1-8c88-308975684159,0,The article neutrally reports on the Home Adviser's visit to the camps. Pledging to take action against armed/terrorist groups is standard state security discourse and does not inherently vilify the entire refugee population.,0,The article neutrally reports on the Home Adviser's visit to the camps. Pledging to take action against armed/terrorist groups is standard state security discourse and does not inherently vilify the entire refugee population.,success,0,0,0
5b16ca28-3ecc-41ca-95c1-1443e206317a,0,The Rohingya are only mentioned once in passing as one of the many sectors receiving USAID funding. The article is entirely neutral toward them.,0,The Rohingya are only mentioned once in passing as one of the many sectors receiving USAID funding. The article is entirely neutral toward them.,success,0,0,0
11f3ff06-63d5-4a1e-91c8-59b42c798d54,0,"This is a geopolitical interview focusing on Myanmar's civil war, China-US competition, and border security. The Rohingya repatriation is mentioned factually as a strategic challenge, carrying no emotive framing.",0,"This is a geopolitical interview focusing on Myanmar's civil war, China-US competition, and border security. The Rohingya repatriation is mentioned factually as a strategic challenge, carrying no emotive framing.",success,0,0,0
5f734510-4b93-4ba0-823a-702c5f8668fa,0,The article neutrally reports on a protest by local Bangladeshi teachers who were laid off from Rohingya learning centers due to UNICEF funding cuts. The Rohingya are merely the context for the administrative dispute.,0,The article neutrally reports on a protest by local Bangladeshi teachers who were laid off from Rohingya learning centers due to UNICEF funding cuts. The Rohingya are merely the context for the administrative dispute.,success,0,0,0
87b47b6d-e54b-40a2-ae8f-f237f3d96efc,1,"The article primarily focuses on finding a political solution to the Rohingya crisis through national unity, regional cooperation, and democratic structures. The framing is generally positive towards addressing the issue politically rather than relying solely on international efforts. However, there are some negative elements regarding the international community's response, particularly in terms of their limited financial support and lack of proactive measures. The article also mentions the need to address historical animosities and political barriers, which could be seen as a critique of certain groups. Overall, the tone is constructive but critical towards external actors.",1,"The article frames the Rohingya positively by amplifying their voices and aspirations. It advocates for holding Myanmar accountable for genocide, securing their citizenship, and ensuring safe and dignified repatriation.",success,0,1,1
9a768ef7-55d7-4f22-b3a8-ada708399b14,1,"The article sympathetically covers a human rights organization's plea to ASEAN to establish a humanitarian fund for the Rohingya, warning against food shortages, and demanding education and dignity for Rohingya youth.",1,"The article sympathetically covers a human rights organization's plea to ASEAN to establish a humanitarian fund for the Rohingya, warning against food shortages, and demanding education and dignity for Rohingya youth.",success,0,1,1
