article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
b3bf9cfa-b867-4a11-ba2a-a62b3155c383,0,The article neutrally reports a speech by a BNP leader who heavily criticizes Jamaat-e-Islami. The article itself does not adopt this negative framing; it merely provides objective coverage of the political event.,-2,"Jamaat is directly labeled 'স্বাধীনতাবিরোধী মুক্তিযুদ্ধবিরোধী' (anti-independence, anti-Liberation War) and referred to via the epithet 'রাজাকারের বাচ্চারা' (children of collaborators/war criminals) — a severe historical dogwhistle equating Jamaat with 1971 war criminals. The speaker frames voting for Jamaat as tantamount to accepting his death, and the crowd unanimously rejects Jamaat. Jamaat is also portrayed as spreading denialist rhetoric about the Liberation War and blaming India for 1971, reinforcing a narrative of historical treachery and ongoing threat to national identity.",success,2,0,-1
0fd1155e-f4d5-400b-abaa-5f98386d2f79,0,"The article provides a balanced, neutral report on a political clash. It presents counter-claims from both Jamaat and BNP regarding an armed youth, without taking a side or vilifying Jamaat.",0,"This is a balanced clash report with competing accusations: BNP claims the armed shooter was Jamaat-Shibir, while Jamaat's candidate directly refutes this, stating 'আমরা অস্ত্রের রাজনীতি করি না' (we don't do gun politics) and accuses 'বিএনপির সন্ত্রাসীরা' of an unprovoked attack injuring dozens of Jamaat workers, some critically. The article gives Jamaat's perspective substantial voice and portrays them as victims of aggression in this specific framing, though the overall clash is presented as mutual/contested.",success,0,0,0
60847470-2e1a-419c-8ed4-570de7a3f1c9,0,The article neutrally reports a former Chhatra Shibir leader joining Chhatra Dal. It maintains journalistic objectivity by including both the defector's claims and Shibir's counter-statement that he was previously expelled for indiscipline.,-1,"This piece covers a former Shibir (Jamaat's student wing) leader defecting to BNP's Chatra Dal, citing 'ছাত্রশিবির ও জামায়াতে ইসলামীর কিছু বিষয় নিয়ে প্রশ্ন তৈরি হওয়ায়' (questions arising about certain issues within Shibir/Jamaat) as his reason for leaving, and reports he faces threats after defecting — implying an intimidating internal culture. However, BNP's Chatra Dal secretary notably excludes Jamaat/Shibir from groups they'd welbome, calling them alongside 'terrorist and banned organizations' in a backhanded manner. The framing subtly casts Jamaat as an organization people flee under duress/threat.",success,1,0,-1
ef578ca6-c567-4b7c-80c4-7852f82b283a,0,"The article provides a neutral overview of the electoral landscape. Mentioning Jamaat's historical inability to win seats in the region is a factual statement, not a negative framing. It gives fair space to Jamaat's candidates.",0,"This is a routine, factual election preview describing Jamaat as fielding new candidates for the first time seriously contesting seats it has never won, with candidates quoted expressing optimistic, constructive campaign messages about wanting 'পরিবর্তন', 'শান্তি ও সুশাসন' (change, peace, and good governance) and an 'সৎ, ন্যায়ভিত্তিক ও কল্যাণমুখী সমাজ' (honest, just, welfare-oriented society). The tone toward Jamaat is neutral-to-mildly positive through direct quotes, but overall descriptive and objective.",success,0,0,0
275d0fb4-617a-4186-a6ee-b5684147a81a,0,"This opinion piece offers a balanced political analysis. It highlights Jamaat's strengths (corruption-free image, disciplined leadership) alongside its vulnerabilities (1971 history, ideological rigidity), resulting in a neutral framing overall.",1,"This analytical opinion piece is notably favorable to Jamaat compared to BNP: it explicitly credits Jamaat with a 'দুর্নীতিমুক্ত' (corruption-free) image, praises its discipline and lack of internal chaos over candidate selection, highlights Amir Shafiqur Rahman's moderate and flexible leadership including minority outreach (visiting temples, inviting Hindu support), and frames this as 'নির্ভেজাল' (genuine/unadulterated). While it also notes lingering concerns about Jamaat's dogmatic/homogenous character and unresolved 1971 history as a 'sleeping volcano,' and flags relative unfamiliarity of its leadership beyond the top tier, the overall comparative framing is favorable relative to BNP's portrayed disarray and corruption.",success,1,0,1
932ec0a7-2111-434d-9a8d-282ab11b36e4,1,The op-ed frames Jamaat as a highly strategic and formidable political actor. It praises their alliance-building as a 'courageous positive experiment' that successfully expands their influence among the educated middle class and madrasa demographics.,1,"This analytical piece frames Jamaat as a shrewd, strategically ascendant political operator taking initiative for the first time ('এবার সে নিজেই...বড় ধরনের রাজনৈতিক সামর্থ্য দেখাতে চাইতে পারে'), calling this a 'সাহসী ইতিবাচক নিরীক্ষা' (bold, positive experiment). It describes Jamaat as having built financial, administrative, and diplomatic strength, positioning itself to lead a coalition and expand influence among youth and madrasa communities. The framing is largely analytical/strategic without moral judgment, portraying Jamaat as a savvy political actor benefiting from opposition disunity — net slightly positive due to the 'ইতিবাচক' framing of its agency and success.",success,0,1,1
7b18257f-9e4a-409a-aa0c-ab038e164998,-1,"The op-ed critically analyzes Jamaat/Shibir's student election victories, arguing they sacrificed their core Islamic ideology for votes. The author concludes that while they won the election, their 'identity politics' fundamentally lost.",-1,"This opinion piece is critical of Jamaat/Shibir's ideological consistency, arguing their election manifesto abandoned core Islamist tenets from their constitution for electoral expediency, implying opportunism and a strategic masking of true intentions (hiding sharia ambitions while presenting a liberal facade with non-hijabi and non-Muslim candidates). It states voters have historically 'প্রত্যাখ্যান করেছে' (rejected) identity-based Islamist politics, framing Jamaat's win as a hollow, image-driven tactic rather than genuine ideological or political victory — a subtly critical, skeptical framing of Jamaat's authenticity and long-term political viability.",success,0,-1,-1
62c50433-9310-4e86-8cf3-f1142d7dfd8d,0,"The op-ed objectively analyzes Shibir's student election victory, attributing it to meticulous long-term planning and the strategic failures of rival groups. It analyzes their competence neutrally without ideological praise or vilification.",1,"This piece attributes Shibir's (Jamaat's student wing) DUCSU/JUCSU wins primarily to long-term, disciplined planning, strategic candidate grooming, and calculated image-management (fielding non-hijabi/non-Muslim candidates for a liberal veneer), while explicitly attributing rival factions' losses to their own disorganization and infighting rather than crediting Shibir's popularity. Though somewhat backhanded (implying manufactured rather than organic support), the piece consistently frames Shibir as strategically superior and disciplined compared to disunited rivals, which is a relatively favorable comparative framing of organizational competence.",success,1,0,1
cc12ed39-03bc-4279-a8f4-28b2c6c85412,0,"The op-ed neutrally analyzes political dynamics, observing that Jamaat successfully utilized its association with the NCP to wash away its 1971 stigma and establish itself as a powerful 'second party'.",-1,"This piece frames Jamaat as the primary beneficiary of its alliance with NCP, stating Jamaat received a major 'বুস্ট' by having its 'মুক্তিযুদ্ধকালীন ভূমিকাকে ধুয়েমুছে পরিষ্কার করে দেওয়া হয়েছে' (its 1971 wartime role 'washed clean') through association with NCP — implying a cynical rehabilitation of a historically compromised reputation. NCP leaders are quoted warning that 'মুক্তিযুদ্ধবিরোধী জামায়াত কখনো বাংলাদেশের ক্ষমতায় আসতে পারবে না' (anti-Liberation-War Jamaat can never come to power), reinforcing the war-crimes association as an active political liability. The article also frames Jamaat as posing a bigger future danger to BNP than NCP itself.",success,1,0,-1
4f5049a4-5022-4ce3-876d-ad39a5048a66,0,The target identity (Jamaat-e-Islami) is completely absent from this article. The article solely discusses internal conflicts involving Awami League and BNM candidates.,0,This article is entirely focused on AL and BNM factional dynamics in a specific constituency; Jamaat-e-Islami is not mentioned anywhere in the text. There is no framing of Jamaat present in this article.,success,0,0,0
