article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
5cf145ac-2888-45e4-821f-728e9745b826,0,"The article neutrally discusses Bangladesh's diplomatic stance at the UN. The Rohingya are mentioned factually as refugees fleeing atrocities, framing them neither negatively nor overly positively, but as a humanitarian reality.",1,"The article frames the Rohingya positively as victims of mass atrocities and forced displacement from Myanmar. It highlights that Bangladesh has sheltered over 1.2 million Rohingya fleeing brutality and emphasizes their humanitarian protection while calling for political solutions. Although the report is largely factual and attributes these views to the foreign adviser, the overall narrative is sympathetic toward the Rohingya rather than merely descriptive.",success,1,0,1
b8fa2277-215c-488c-9389-41994b6d1b91,-1,"The article heavily frames the Rohingya presence as a massive environmental and demographic threat. It explicitly blames them for the destruction of forests, wildlife, and water tables, and argues that building permanent infrastructure will stubbornly anchor them in Bangladesh.",-1,"The article predominantly frames the Rohingya as a source of environmental degradation and long-term socio-economic burden. It repeatedly associates the refugee presence with deforestation, biodiversity loss, water shortages, landslides, and delayed repatriation, while arguing against permanent housing. Although these claims are presented through an NGO press conference rather than editorial voice, the overall portrayal of the Rohingya is unfavorable.",success,0,-1,-1
daa6e17c-c88d-480c-aefc-b5e7253c7916,-2,The article explicitly frames the Rohingya as criminals and a direct threat to the local host community. It labels them as 'terrorists' and extortionists involved in violent armed abductions.,-1,"The article associates Rohingya with armed criminality by reporting police allegations that Rohingya gunmen abducted a businessman, engaged in a firefight with security forces, and extorted local businesses. While the journalist attributes these claims to police and local residents rather than endorsing them, the dominant framing links the target identity to violence and insecurity, resulting in a negative portrayal.",success,1,-1,-1
bc279ddc-644c-4f51-a1b7-856b19f37068,1,"The article sympathetically frames the Rohingya as an 'oppressed population' (নিপীড়িত জনগোষ্ঠী). It highlights their humanitarian needs, lack of education, and the positive efforts being made to support their children's future.",2,"The article strongly humanizes the Rohingya through repeated references to their suffering, deprivation, and need for education and healthcare. It describes them as one of the world's most persecuted peoples, emphasizes children's right to education, calls for dignified repatriation and accountability for atrocities, and presents humanitarian assistance in an explicitly supportive moral frame. The overall portrayal is highly sympathetic and morally elevating.",success,1,1,1
188fd699-2a20-4433-b4d6-c845b25c85e1,0,"The article is a factual crime report about armed militant groups (ARSA vs RSO) clashing inside the camp. Since Rohingya individuals are presented as both the victims and the perpetrators without vilifying the entire ethnic identity, the framing remains neutral.",-1,"The article reports a violent attack inside a Rohingya camp and repeatedly associates Rohingya individuals with armed groups, internal conflict, drug trafficking, and criminal rivalry. Although it also depicts ordinary Rohingya as victims of violence and fear, the dominant framing emphasizes security threats connected to Rohingya militant factions. Since these claims are attributed to police and camp sources, the negative framing is moderated rather than extreme.",success,1,0,-1
fc93a346-ce0e-4a07-8d0b-f73a24b2428e,0,The article neutrally reports on a cross-border incident in Myanmar where a Rohingya youth was shot. It provides factual geopolitical context about the civil war without negatively framing the Rohingya people.,0,"The article is a factual report on cross-border fighting in Myanmar. It neutrally states that a Rohingya youth was reportedly injured and describes clashes involving Rohingya armed groups without generalizing these actions to the Rohingya population. The journalist neither praises nor condemns the Rohingya identity, maintaining an objective reporting stance.",success,0,0,0
b74c8415-2a12-4cb1-8c88-308975684159,0,The article neutrally reports on the Home Adviser's visit to the camps. Pledging to take action against armed/terrorist groups is standard state security discourse and does not inherently vilify the entire refugee population.,0,"The article objectively reports government officials' visit to Rohingya camps. It mentions both the need to take action against armed groups operating in the camps and Bangladesh's humanitarian responsibility toward Rohingya refugees. The report balances security concerns with humanitarian obligations without adopting either evaluative stance as its own, resulting in an overall neutral framing.",success,0,0,0
5b16ca28-3ecc-41ca-95c1-1443e206317a,0,The Rohingya are only mentioned once in passing as one of the many sectors receiving USAID funding. The article is entirely neutral toward them.,0,"The Rohingya are mentioned only as one beneficiary group of USAID-funded humanitarian programs. The article focuses on the implications of USAID funding cuts for Bangladesh's development rather than evaluating the Rohingya themselves. Their portrayal remains incidental and factual, producing a neutral framing.",success,0,0,0
11f3ff06-63d5-4a1e-91c8-59b42c798d54,0,"This is a geopolitical interview focusing on Myanmar's civil war, China-US competition, and border security. The Rohingya repatriation is mentioned factually as a strategic challenge, carrying no emotive framing.",0,"The interview primarily analyzes Myanmar's conflict and Bangladesh's security and diplomatic strategy. References to the Rohingya concern repatriation challenges and diplomatic engagement without expressing approval or disapproval toward the Rohingya identity itself. The discussion remains analytical and policy-oriented, yielding a neutral framing.",success,0,0,0
5f734510-4b93-4ba0-823a-702c5f8668fa,0,The article neutrally reports on a protest by local Bangladeshi teachers who were laid off from Rohingya learning centers due to UNICEF funding cuts. The Rohingya are merely the context for the administrative dispute.,0,"The article focuses on protests by dismissed Bangladeshi teachers rather than on the Rohingya. The Rohingya appear mainly as beneficiaries of education programs and as the population living in the refugee camps. The report neither praises nor criticizes them directly, maintaining an overall neutral framing.",success,0,0,0
87b47b6d-e54b-40a2-ae8f-f237f3d96efc,1,"The article primarily focuses on finding a political solution to the Rohingya crisis through national unity, regional cooperation, and democratic structures. The framing is generally positive towards addressing the issue politically rather than relying solely on international efforts. However, there are some negative elements regarding the international community's response, particularly in terms of their limited financial support and lack of proactive measures. The article also mentions the need to address historical animosities and political barriers, which could be seen as a critique of certain groups. Overall, the tone is constructive but critical towards external actors.",1,"The article frames the Rohingya sympathetically by emphasizing their right to safe, dignified, and sustainable repatriation, citizenship, accountability for atrocities, and political solutions to the crisis. Speakers portray the Rohingya as victims of persecution whose voices should be heard. Although these are reported statements from a policy dialogue, the overall narrative is supportive of the Rohingya.",success,0,1,1
9a768ef7-55d7-4f22-b3a8-ada708399b14,1,"The article sympathetically covers a human rights organization's plea to ASEAN to establish a humanitarian fund for the Rohingya, warning against food shortages, and demanding education and dignity for Rohingya youth.",1,"The article presents the Rohingya as victims of an ongoing humanitarian crisis and criticizes ASEAN for neglecting the root causes of their displacement. It advocates increased humanitarian assistance, education, and durable solutions while emphasizing regional responsibility. Although the article acknowledges risks such as trafficking and instability, these are framed as consequences of the unresolved crisis rather than attributes of the Rohingya themselves, resulting in a positive overall portrayal.",success,0,1,1
