article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
a0fc5661-18ba-49f1-857f-a5371e4badc8,0,"The article is a factual news report covering a protest organized by Chhayanaut. The journalist neutrally summarizes the event, lists the songs performed, and quotes the organization's president without adding any positive or negative editorial framing.",1,"The article portrays Chhayanaut sympathetically as a cultural institution advocating through peaceful, artistic means (singing songs) for a humane cause — reinstating music and physical education teachers for children's holistic development. Its president's reasoned, dignified appeal is presented uncritically and favorably, framing the organization as a thoughtful civic voice.",success,1,0,1
c6cadf36-8922-4590-9443-024c72d88645,1,"The article neutrally reports on Chhayanaut's annual Pahela Baishakh celebration. It factually describes the performances, quotes attendees and the organization's president, and notes a moment of silence for Gaza, maintaining a purely descriptive and objective tone. Still the presentation gives a heroic vibe to the reader.",2,"This warm, celebratory feature portrays Chhayanaut's traditional Bengali New Year event as a beloved, unifying cultural institution drawing large enthusiastic crowds across generations, moderating a moment of solidarity for Gaza victims, and articulating an inclusive vision against religious/ethnic division. The organization is depicted as a cherished custodian of secular, humanistic Bengali culture.",success,1,1,1
b4afacb4-0006-40b0-a53b-b81913f90d70,0,"The article is a straightforward summary of a speech given by Chhayanaut's executive president at their Bengali New Year event. The positive words ('illuminated country,' 'peace') are direct quotes from the speaker, not the editorial stance of the journalist.",1,"This article platforms Chhayanaut's executive president's reflective, aspirational speech on free thought, cultural heritage, and building a tolerant, inclusive society, framing the organization as a moral and cultural voice for humanistic values without any critical counterpoint.",success,1,0,1
45c29989-8d28-4f23-a41c-a965e799affb,0,"The article provides a neutral, factual preview of Chhayanaut's Pahela Baishakh program. It details the theme, stage dimensions, wardrobe choices, and broadcasting plans without expressing any editorial bias or subjective praise.",1,"Purely descriptive, factual event coverage detailing the program structure, attire, and broadcast arrangements of Chhayanaut's New Year celebration, without evaluative framing.",success,1,0,1
35c5b477-fd89-4ab4-9fb7-aea950a01a01,0,"The article neutrally reports the conclusion of Chhayanaut's New Year event, focusing on a moment of silence held for Gaza. The reporter objectively conveys the facts and quotes the executive president without editorializing.",1,"The article portrays Chhayanaut sympathetically as a socially conscious cultural institution that pauses its celebration to condemn the Gaza killings and express solidarity with Palestinians, framing the organization as compassionate and globally aware alongside its cultural mission.",success,1,0,1
ff7db090-74b4-4f91-bec8-54f05c34e299,0,"The article is a descriptive review of a monsoon-themed musical event organized by Chhayanaut. While it uses positive adjectives ('মুগ্ধ হলেন' - audience was mesmerized), this is standard cultural reporting describing the atmosphere, not active ideological glorification of the organization.",1,"Purely descriptive arts coverage of a monsoon-themed music program dedicated to poet Sufia Kamal's memory, presenting Chhayanaut's cultural programming in an appreciative, admiring tone typical of arts journalism.",success,1,0,1
a8e73dca-2dd6-41c5-967f-776da1d67396,0,The article neutrally reports on a press conference where Chhayanaut announced a new digital broadcasting initiative called 'Jagoroni.' The journalist factually outlines their plans to upload cultural content on social media without editorially praising them.,1,"This report on Chhayanaut's new digital outreach initiative ('Jagorani') frames the organization as forward-thinking and mission-driven, quoting leadership's aspirations to build a humane society and expand reach — consistently positive, uncritical coverage of institutional growth and vision.",success,1,0,1
7f24a66a-7c17-404b-ba68-95ee9b6c5ac2,1,The article is a neutral cultural report describing an autumn festival organized by Chhayanaut. But the tone and style of presentation gave a positive frame towards chayanot.,1,"Descriptive, admiring arts feature on Chhayanaut's autumn cultural program held jointly with a school, praising the performances and organizers' aspiration to inspire youth and reach wider audiences — warmly favorable framing typical of cultural event reporting.",success,0,1,1
eb419747-a5d4-47f9-9a86-2fff78b70edf,1,"This op-ed/feature article highly positively frames Chhayanaut. It praises the organization's historical role in resisting military dictatorships, defending Bengali culture, and bravely continuing its mission even after a deadly terrorist bombing.",2,"This is a laudatory historical retrospective celebrating Chhayanaut's six-decade legacy as a pioneering force in Bengali cultural nationalism, crediting it with resilience through martial law, the 1971 war, post-independence political suppression, and the 2001 bomb attack, framing the organization as a symbol of cultural resistance and unity that has consistently overcome adversity. This is a sustained, glorifying institutional history.",success,1,1,1
23dc35e0-5b15-4692-9437-a3b2671f1283,0,The article is an obituary for the singer Papia Sarwar. Chhayanaut is mentioned only factually as the place where her body was kept for public homage and where she received her early musical training. The framing is neutral.,1,"Chhayanaut is mentioned as the venue where mourners paid respects to a beloved singer and as the institution where she trained early in life; the article is centered on the deceased artist's biography and legacy rather than characterizing Chhayanaut itself, though the association is respectful and neutral-to-positive.",success,1,0,1
eb04e512-512e-4f80-beb2-41ad73228f60,0,"The article neutrally reports on a folk music concert hosted at Chhayanaut. It provides a factual list of the performers, the types of songs sung, and the dedication of the event. The tone is descriptive and objective.",1,"Straightforward descriptive coverage of a folk music evening hosted by Chhayanaut, dedicated to a musicologist, detailing the performance lineup — routine appreciative arts reporting with no critical or negative framing.",success,1,0,1
f48339e0-bfc8-4f2e-b1cb-a64a2727ff01,0,The article neutrally reports on a memorial event for the martyr Altaf Mahmud held at the Chhayanaut auditorium. The article objectively describes the performances and speeches without applying any editorial framing to Chhayanaut itself.,1,"Warm, reverent coverage of Chhayanaut's memorial tribute event honoring a martyred composer of the language movement and liberation war, portraying the organization as a dedicated custodian of national cultural memory and historical commemoration.",success,1,0,1
