article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
a0fc5661-18ba-49f1-857f-a5371e4badc8,0,"The article is a factual news report covering a protest organized by Chhayanaut. The journalist neutrally summarizes the event, lists the songs performed, and quotes the organization's president without adding any positive or negative editorial framing.",1,"The article presents Chhayanat in a favorable light as a respected cultural organization advocating for music education and children's holistic development. Its actions are framed as constructive, civic-minded, and motivated by humanitarian and educational values. While the report is largely journalistic and quote-based, the overall portrayal of Chhayanat is positive.",success,1,0,1
c6cadf36-8922-4590-9443-024c72d88645,1,"The article neutrally reports on Chhayanaut's annual Pahela Baishakh celebration. It factually describes the performances, quotes attendees and the organization's president, and notes a moment of silence for Gaza, maintaining a purely descriptive and objective tone. Still the presentation gives a heroic vibe to the reader.",2,"The article strongly celebrates Chhayanat as a guardian of Bengali cultural heritage, secularism, and national unity. Its New Year celebration is portrayed as inspiring, inclusive, and morally uplifting, while its leadership is quoted promoting peace, tolerance, and free thought. The framing is highly admiring and elevates Chhayanat's cultural and social significance.",success,1,1,1
b4afacb4-0006-40b0-a53b-b81913f90d70,0,"The article is a straightforward summary of a speech given by Chhayanaut's executive president at their Bengali New Year event. The positive words ('illuminated country,' 'peace') are direct quotes from the speaker, not the editorial stance of the journalist.",2,"The article frames Chhayanat as an authoritative cultural institution promoting freedom of thought, secularism, historical consciousness, and social harmony. Its leadership is presented with strong moral legitimacy and visionary language, producing a highly positive portrayal.",success,2,0,1
45c29989-8d28-4f23-a41c-a965e799affb,0,"The article provides a neutral, factual preview of Chhayanaut's Pahela Baishakh program. It details the theme, stage dimensions, wardrobe choices, and broadcasting plans without expressing any editorial bias or subjective praise.",1,"The report neutrally covers Chhayanat's traditional New Year celebration while emphasizing its long-standing cultural role and careful organization. The institution is portrayed as a respected organizer of a cherished national tradition, resulting in a mildly positive framing.",success,1,0,1
35c5b477-fd89-4ab4-9fb7-aea950a01a01,0,"The article neutrally reports the conclusion of Chhayanaut's New Year event, focusing on a moment of silence held for Gaza. The reporter objectively conveys the facts and quotes the executive president without editorializing.",1,The article presents Chhayanat positively through its humanitarian gesture of commemorating victims in Gaza alongside its cultural program. The organization is depicted as compassionate and socially conscious without excessive praise.,success,1,0,1
ff7db090-74b4-4f91-bec8-54f05c34e299,0,"The article is a descriptive review of a monsoon-themed musical event organized by Chhayanaut. While it uses positive adjectives ('মুগ্ধ হলেন' - audience was mesmerized), this is standard cultural reporting describing the atmosphere, not active ideological glorification of the organization.",1,"The article portrays Chhayanat as an active promoter of Bengali musical heritage through a well-organized seasonal cultural program. The tone is appreciative but primarily descriptive, yielding a positive framing.",success,1,0,1
a8e73dca-2dd6-41c5-967f-776da1d67396,0,The article neutrally reports on a press conference where Chhayanaut announced a new digital broadcasting initiative called 'Jagoroni.' The journalist factually outlines their plans to upload cultural content on social media without editorially praising them.,2,"The article strongly endorses Chhayanat's mission of promoting culture, music, and humanitarian values through digital platforms. It presents the organization as innovative, nationally significant, and dedicated to cultural development, producing a highly positive framing.",success,2,0,1
7f24a66a-7c17-404b-ba68-95ee9b6c5ac2,1,The article is a neutral cultural report describing an autumn festival organized by Chhayanaut. But the tone and style of presentation gave a positive frame towards chayanot.,1,"The article depicts Chhayanat as successfully engaging young people and the public through cultural education and artistic performances. The narrative appreciates its efforts without elevating it to a heroic status, resulting in a positive framing.",success,0,1,1
eb419747-a5d4-47f9-9a86-2fff78b70edf,1,"This op-ed/feature article highly positively frames Chhayanaut. It praises the organization's historical role in resisting military dictatorships, defending Bengali culture, and bravely continuing its mission even after a deadly terrorist bombing.",2,"The feature article explicitly celebrates Chhayanat's historical role in defending Bengali culture, democracy, secularism, and national identity. It portrays the organization as resilient in the face of political repression and terrorism, giving it a heroic and morally elevated image. This constitutes a highly positive framing.",success,1,1,1
23dc35e0-5b15-4692-9437-a3b2671f1283,0,The article is an obituary for the singer Papia Sarwar. Chhayanaut is mentioned only factually as the place where her body was kept for public homage and where she received her early musical training. The framing is neutral.,1,"Chhayanat is portrayed as a respected cultural institution where the late artist received training and where the public paid tribute to her. The organization is associated with prestige and cultural excellence, resulting in a positive framing.",success,1,0,1
eb04e512-512e-4f80-beb2-41ad73228f60,0,"The article neutrally reports on a folk music concert hosted at Chhayanaut. It provides a factual list of the performers, the types of songs sung, and the dedication of the event. The tone is descriptive and objective.",1,The article positively presents Chhayanat as preserving and promoting Bengali folk music through organized cultural events. The reporting is descriptive but conveys appreciation for the institution's cultural contribution.,success,1,0,1
f48339e0-bfc8-4f2e-b1cb-a64a2727ff01,0,The article neutrally reports on a memorial event for the martyr Altaf Mahmud held at the Chhayanaut auditorium. The article objectively describes the performances and speeches without applying any editorial framing to Chhayanaut itself.,1,"The article portrays Chhayanat as a respectful custodian of Bangladesh's musical and liberation heritage through its commemorative program. The framing is favorable, emphasizing its role in preserving national memory and culture.",success,1,0,1
