dataset,model,gold_file,pred_file,gold_rows,pred_rows_success,merged_rows,valid_rows,coverage_vs_gold,mae,accuracy,macro_f1,category
apolitical_relgious_hefajot,claude,gold_standard_hefajot.jsonl,claude_sonet_5.jsonl,18,19,18,18,1.0,0.0,1.0,0.2,apolitical
apolitical_relgious_iskon,gemini,gold_standard_iskon.jsonl,gemini3.1_pro_ext_iskon.jsonl,8,8,8,8,1.0,0.25,0.75,0.1714,apolitical
apolitical_religious_tablig,qwen,gold_standard_tablig.jsonl,qwen2.5_7b_tablig.jsonl,9,8,8,8,0.8889,0.25,0.75,0.3214,apolitical
cultural_chayanot,gemini,gold_standard_chayanot.jsonl,gemini3.1_pro_ext_chayanot.jsonl,12,12,12,12,1.0,0.1667,0.8333,0.28,cultural
cultural_inkilab_moncho,gemini,gold_standard_inkilab_moncho.jsonl,gemini3.1_pro_ext_inkilab.jsonl,12,12,12,12,1.0,0.0,1.0,0.2,cultural
cultural_udichi,gemini,gold_standard_udichi.jsonl,gemini3.1_pro_ext_udichi.jsonl,14,17,14,14,1.0,0.0,1.0,0.2,cultural
demo_pahari,gemini,gold_standard_pahari.jsonl,gemini3.1_pro_ext_pahari.jsonl,10,10,10,10,1.0,0.3,0.7,0.281,demo
demo_rohingya,gemini,gold_standard_rohingya.jsonl,gemini3.1_pro_ext_rohingya.jsonl,12,12,12,12,1.0,0.0833,0.9167,0.5333,demo
geo_india,gemini,gold_standard_india.jsonl,gemini3.1_pro_extended_india.jsonl,50,50,50,50,1.0,0.04,0.96,0.7613,geo
geo_israel_palestine,gemini,gold_standard_palestine.jsonl,gemini3.1_pro_ext_palestine.jsonl,10,10,10,10,1.0,0.0,1.0,0.6,geo
geo_pakistan,gemini,gold_standard_pakistan.jsonl,gemini3.1_pro_extended_pakistan.jsonl,41,43,41,41,1.0,0.0732,0.9268,0.5608,geo
geo_west,gemini,gold_standard_west.jsonl,gemini3.1_pro_ext_west.jsonl,24,24,24,24,1.0,0.0417,0.9583,0.5333,geo
inst_government,gemini,gold_standard_government.jsonl,gemini3.1_pro_ext_government.jsonl,14,15,14,14,1.0,0.2857,0.7143,0.3179,inst
inst_polish,gemini,gold_standard_polish.jsonl,gemini3.1_pro_ext_polish.jsonl,15,15,15,15,1.0,0.0667,0.9333,0.3713,inst
inst_rab,gemini,gold_standard_rab.jsonl,gemini3.1_pro_ext_rab.jsonl,8,8,8,8,1.0,0.0,1.0,0.6,inst
plt_awami_league,gemini,gold_standard_awami_league.jsonl,gemini3.1_pro_extended_awami_league.jsonl,20,20,20,20,1.0,0.3,0.8,0.4673,plt
plt_bnp,gemini,gold_standard_bnp.jsonl,gemini_3.1_pro_extended_bnp.jsonl,17,17,17,17,1.0,0.0588,0.9412,0.5526,plt
plt_jamaat,gemini,gold_standard_jamaat.jsonl,gemini_3.1_pro_extended_jamat.jsonl,13,13,13,13,1.0,0.0769,0.9231,0.5238,plt
plt_letf,gemini,gold_standard_leftist.jsonl,gemini3.1_pro_ext_leftist.jsonl,9,9,9,9,1.0,0.1111,0.8889,0.5378,plt
