article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
b14ec82a-a6b7-4f3b-9ff6-473f6675a1aa,0,"The article neutrally reports on a press statement by TIB criticizing the government's handling of the Anti-Corruption Commission ordinance. While the quotes from TIB are highly negative and accuse the government of protecting vested interests, the article functions purely as a factual messenger without adopting the negative framing itself.",-2,"The article frames the government in a highly negative manner by foregrounding TIB's severe criticism that the government has undermined anti-corruption reform. It repeatedly portrays the government as unwilling to implement reform, captive to vested interests, ignoring political consensus, and enabling corruption. Phrases such as 'রাষ্ট্র সংস্কার কেবলই ফাঁকা বুলি', 'সরকারের অনাগ্রহ', 'সংস্কারপরিপন্থী', and suggestions that the government protects ruling interests produce a strongly delegitimizing narrative, despite attributing these claims to TIB.",success,2,0,-1
3ff3e5d0-569a-46ed-9d61-69aac4f76494,0,"This is a neutral Q&A interview with a political leader (Zonayed Saki). The politician offers constructive advice and mild critiques regarding the interim government's neutrality and reform pace. The interviewer remains objective, resulting in a neutral framing of the government.",0,"The article is an interview presenting opinions about how the interim government should behave. It includes recommendations that the government remain neutral, ensure a level playing field, and strengthen institutions, while also mentioning concerns about neutrality and administrative effectiveness. These are presented as the interviewee's views rather than the newspaper's endorsement, resulting in an overall balanced and neutral framing of the government.",success,0,0,0
f0f2acc0-7011-4ad2-844f-2ea8efefaf46,0,"The article provides a neutral, factual political analysis of the deadlock between political parties (BNP and Jamaat) over constitutional reforms. The government is mentioned neutrally as the arbiter waiting for a consensus before making a final decision.",0,"The article mainly reports the political deadlock surrounding the implementation of the July Charter and describes the government's procedural role in seeking consensus before making a final decision. Although some quoted actors express dissatisfaction with the government's mediation efforts, the overall reporting remains descriptive and does not consistently praise or condemn the government.",success,0,0,0
6f396d56-fe8f-4a09-8dae-ca13a05c19b0,-1,"The op-ed explicitly critiques the interim government, framing it as weak, indecisive, and increasingly captured by a corrupt bureaucracy. The author uses metaphors to urge the government to stop trying to please everyone and take firm, bold action for reform.",-2,"This opinion piece strongly criticizes both past and current governments through extended metaphor. The interim government is portrayed as ineffective, hesitant, constrained by bureaucracy, and failing to deliver meaningful reforms despite public sacrifice. Expressions suggesting that reforms may become 'কুসংস্কার কমিশন' and comparisons with authoritarian rule create a highly negative framing of the government.",success,1,-1,-1
3734c811-ef88-4870-ac05-6d4764447072,-1,"This opinion piece frames the government negatively, criticizing it for abdicating its leadership responsibility. The author argues that the government has failed to build consensus and is shifting blame to political parties, creating a deeper political crisis.",-1,"The article presents Mahmudur Rahman Manna's critical assessment that the government mishandled the reform process, failed to provide a legal basis for the July Charter, created unnecessary political conflict, and must now assume responsibility. While the criticism is attributed to an interviewee, the dominant framing portrays the government as ineffective and indecisive, resulting in a moderately negative evaluation.",success,0,-1,-1
a28dbc6c-8fb6-4352-b799-40518fb0c46c,-1,"The article critically frames the interim government by accusing it of repeating the corrupt and appeasement-driven bureaucratic promotion practices of the previous Awami League regime, rather than implementing promised reforms.",-2,"The article consistently frames the government as repeating the flawed administrative practices of the previous regime. It emphasizes that the government has failed to implement promised public administration reforms, yielded to bureaucratic pressure, continued politically controversial promotion practices, and ignored key reform commission recommendations. Although official responses are included, the dominant narrative is strongly critical of the government's reform performance.",success,1,-1,-1
3c5fe117-4065-42b2-be09-fa6b574e4cd5,-1,The article neutrally reports on the government's ongoing efforts to draft an ordinance for constitutional reform amid gridlock among major political parties. It outlines the positions of the government and the parties factually without editorial bias. Still it depicts the weakness of the govt to unite the nation. ,0,"The article reports the government's ongoing efforts to resolve political disagreements over implementing the July Charter while presenting differing reactions from BNP, Jamaat, and NCP. Both criticism and expectations toward the government are attributed to political actors, and the reporting remains primarily factual without adopting a clear evaluative stance toward the government.",success,1,-1,0
d46a6dc5-5b47-4dc0-9bc5-1667bdcd817a,0,"The article neutrally reports on a port infrastructure agreement signed between the Bangladesh government and a Danish company. Quoting officials who praise the deal is standard reporting, not an inherently positive editorial framing by the journalist.",2,"The article frames the government in a highly positive manner by emphasizing its successful signing of a major international infrastructure agreement. Government officials describe the project as a 'major contribution to the nation,' while foreign partners praise Bangladesh's investment climate and infrastructure ambitions. The narrative highlights competence, achievement, and international credibility without presenting counterarguments.",success,2,0,1
c1d28000-9825-4a6f-879b-b2e44142e626,-2,"The article summarizes a roundtable discussion where multiple prominent intellectuals heavily criticized the government. While the journalist is reporting others' quotes, the curation and structuring of exclusively highly critical viewpoints under a critical headline results in a negative overall framing.",-2,"The article overwhelmingly portrays the interim government as ineffective, lacking capacity, failing to deliver reforms, vulnerable to hidden influence, and unable to ensure justice or good governance. Multiple speakers criticize the government's competence, neutrality, and responsiveness across numerous policy areas. Although a few limited achievements are acknowledged, the dominant framing is strongly negative and depicts the government as failing to fulfill the aspirations of the uprising.",success,0,-1,-1
7bd84c30-9ad1-468d-a4c3-bf1f9ff28941,-2,"This editorial explicitly criticizes the government and relevant ministries for extreme negligence and bureaucratic apathy, framing them as responsible for the ruination of a once-profitable state-owned poultry farm.",-2,"The editorial strongly criticizes government authorities for prolonged neglect, bureaucratic indifference, poor planning, and failure to maintain a public breeding farm. It attributes responsibility directly to government departments and calls for urgent corrective action, framing the government's management as severely deficient and harmful to public interests.",success,0,-1,-1
558c72a1-13ad-4c8d-b499-c289739ad391,-1,"The article frames the government negatively, explicitly stating in the title and text that the interim government has 'failed' to restore democratic leadership in trade organizations, instead relying on inefficient administrators and flawed regulations.",-2,"The article consistently frames the interim government as unsuccessful in restoring democratic leadership to business organizations. It emphasizes policy flaws, slow reforms, administrative mistakes, election delays, and interference by the commerce ministry, supported by criticism from multiple business leaders. The dominant narrative attributes institutional dysfunction to government failures.",success,1,-1,-1
a225bf4b-7588-4077-9285-4f035984e1de,-2,"The op-ed is highly critical of the interim government, portraying it as deeply fractured, easily pressured by conservative elements, and hijacked by an 'invisible' deep state that is obstructing progressive reforms.",-2,"This opinion piece presents an overwhelmingly critical assessment of the interim government, portraying it as internally divided, weak, inconsistent, and unable to implement meaningful reforms. It argues that the government repeatedly yields to pressure groups, neglects economic inequality, and pursues misguided priorities. While acknowledging a few accomplishments by specific institutions, the overall framing is highly negative toward the government.",success,0,-1,-1
10662827-bf8c-4cf4-ae6a-790a9217c004,0,The article is a straightforward news report summarizing an official government press release regarding fire incidents. It neutrally conveys the government's stance without editorializing.,1,"The article neutrally reports the government's official statement but presents the government as proactive, responsible, and committed to investigating recent fires and maintaining public safety. The government's emphasis on investigation, public reassurance, and firm action against sabotage creates a mildly positive institutional framing without overt praise.",success,1,0,1
da0d1e6f-2330-45d5-9452-3e5ae560c2d5,0,The article neutrally reports on a labor dispute between teachers and the government regarding housing allowances. It presents the government's financial constraints and the teachers' demands/threats objectively without taking a side.,-1,"The article presents a mildly negative framing of the government by highlighting its inability to meet teachers' demands because of budget constraints and the failure of negotiations. While the government explains its fiscal limitations and proposes a partial solution, the dominant narrative focuses on teachers' dissatisfaction, criticism of the talks as an 'eyewash,' and the escalation of protests.",success,1,0,-1
