article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
34fa93f9-7992-4590-857c-685b267a78ba,0,"The article is a straightforward, factual news report about a cultural protest organized by Udichi against the cancellation of music teacher posts. The journalist objectively quotes their demands and statements without adding any editorial praise or criticism.",1,"Udichi is portrayed as a proactive cultural advocacy organization protesting a policy reversal they see as harmful to children's development, with their spokespersons' reasoned arguments presented uncritically and favorably, framing the organization as a legitimate civic voice for progressive cultural education.",success,1,0,1
b51865e0-6049-4b41-9019-86c0ad92dc2f,0,The article neutrally summarizes a joint press release by Udichi and Charon demanding the release of a Baul singer. The strong language defending cultural freedom is explicitly attributed to the organizations' statements. The reporter acts merely as an objective messenger.,1,"Udichi is presented as a principled defender of artistic freedom and human rights, condemning what it calls an unjust, inhumane arrest of a folk singer and calling for public vigilance against religious persecution of dissent. The organization's strong moral stance against 'mob rule' and religious extremism is platformed sympathetically as courageous civic advocacy.",success,1,0,1
e9d4c4f2-e730-4b71-bf63-dac4a01a6875,0,"The article neutrally reports on a press conference where Udichi announced a 15-day protest program. The journalist objectively quotes their speeches and statements defending Bengali culture and music education, without adopting their framing as the newspaper's editorial stance.",1,"Udichi and allied cultural organizations are shown organizing a sustained, organized protest campaign against what they characterize as a communally-motivated policy reversal, with leaders' critiques of government capitulation to religious pressure presented at length and without rebuttal, framing Udichi as a determined progressive cultural force defending secular values.",success,1,0,1
462bf49b-d7f9-4ce7-871f-6cc2acca3bbb,0,"The article is a neutral summary of a press release issued by Udichi demanding the reinstatement of music and physical education in primary schools. The positive arguments regarding the value of arts education belong to the press release, not the journalist.",1,"This article extensively platforms Udichi's detailed, reasoned statement advocating for children's holistic development through music and sports education, framing the organization as a thoughtful, humanistic voice defending secular cultural values and child welfare against what it sees as regressive policy.",success,1,0,1
70b45c01-9bd4-4b6d-b669-805526808632,0,"The article neutrally reports on a press statement by Udichi condemning the disruption of cultural events. The journalist objectively conveys their concerns about artistic freedom and safety, maintaining a descriptive and unbiased tone throughout.",1,"Udichi is portrayed as a principled defender of democratic and cultural freedoms, expressing concern over restrictions on artistic expression and calling for solidarity among progressive forces — presented as a legitimate civic watchdog voice without any critical counterpoint.",success,1,0,1
0115e656-07ef-47f1-a79d-2bcefb497a34,0,"The article neutrally reports a press release from Udichi condemning violence against indigenous protesters in Khagrachari. The strong condemnatory language belongs entirely to Udichi's statement, with the journalist acting purely as an objective reporter.",1,Udichi is presented sympathetically as a human rights advocate condemning violence against indigenous protesters and demanding justice and protection for a marginalized community — positioning the organization as a compassionate defender of minority rights.,success,1,0,1
d4c62c42-08ca-49a7-a911-8a9485f7b2d2,0,The article is a factual summary of a press release in which Udichi welcomed the government's decision to hire music teachers. The praise for music education is quoted directly from the statement; the journalist does not editorialize or glorify the organization.,1,"Udichi is shown welcoming a positive policy decision and articulating a thoughtful defense of music education's role in national history and moral development, framing the organization as a constructive, historically-grounded cultural voice.",success,1,0,1
c7168792-9bfb-4104-b82b-5f2d49c85222,0,"The article is a standard, factual news report announcing the appointment of a new acting president for Udichi. Mentioning his background as a freedom fighter and Ekushey Padak recipient is biographical fact-reporting, not ideological glorification.",0,"Routine, neutral organizational news about a leadership transition and administrative restructuring within Udichi, described factually without editorializing.",success,0,0,0
6345f35a-9be3-43c0-8193-7f4a9f1002ef,0,"The article is an obituary neutrally reporting the death of Udichi's president, Badiur Rahman. It factually outlines the circumstances of his passing and funeral arrangements without applying any positive or negative editorial framing to the organization.",1,"A respectful, neutral obituary reporting the death of Udichi's president, with the organization's grief and the deceased's long association with it noted factually and sympathetically as is customary in obituary coverage.",success,1,0,1
a81bfe2b-1f79-4818-8dc8-dce37d29f4f1,0,"The article neutrally reports on an upcoming theatrical performance by Udichi. While the text mentions the historical context of the play and Udichi's mission to preserve folk theater, this is sourced from the organization's press release, not the journalist's editorializing.",2,"This piece celebrates Udichi's revival of a traditional folk theater form (jatra) as part of its longstanding mission to preserve Bengali cultural heritage and anti-colonial/anti-imperialist themes, framing the organization as a dedicated, principled custodian of progressive folk culture across five decades.",success,2,0,1
