dataset,Claude Sonnet 5,GPT-4o,Gemini 3.1 Pro,Qwen 2.5 7b
apolitical_relgious_hefajot,0.3333,0.3333,0.3333,0.1
apolitical_relgious_iskon,0.2564,0.5,0.2857,0.0952
apolitical_religious_tablig,0.903,0.3889,0.5444,0.3889
cultural_chayanot,0.1333,0.1333,0.4667,0.1273
cultural_inkilab_moncho,0.2222,0.2667,0.3333,0.1212
cultural_udichi,0.0444,0.1176,0.3333,0.0833
demo_pahari,0.3333,0.5,0.5,0.1667
demo_rohingya,0.7504,0.8302,1.0,0.463
geo_india,0.5856,0.5912,0.9852,0.4343
geo_israel,0.5333,0.6667,0.6667,0.25
geo_pakistan,0.6573,0.6265,0.8828,0.4441
geo_palestine,0.6667,0.6667,0.6667,0.1905
geo_west,0.2738,0.6379,1.0,0.2105
inst_government,0.4074,0.4227,0.6188,0.2381
inst_police,0.2353,0.3712,0.6188,0.4829
inst_rab,0.303,0.4697,0.6667,0.4
plt_awami_league,0.5281,0.5815,0.6154,0.5029
plt_bnp,0.4722,0.3772,0.6067,0.2997
plt_jamaat,0.5143,0.65,0.873,0.1667
plt_letf,0.6413,0.7407,0.8963,0.4571
