article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error
b14ec82a-a6b7-4f3b-9ff6-473f6675a1aa,0,"The article neutrally reports on a press statement by TIB criticizing the government's handling of the Anti-Corruption Commission ordinance. While the quotes from TIB are highly negative and accuse the government of protecting vested interests, the article functions purely as a factual messenger without adopting the negative framing itself.",-2,"The article portrays the 'সরকার' (government) in a highly negative light. The narrative is framed through critical analysis of government actions and decisions, particularly regarding the 'দুর্নীতি দমন কমিশন' (Commission for Prevention of Corruption). The article suggests that the government's decision to approve the 'দুর্নীতি দমন কমিশন' order without implementing key recommendations from the 'বাছাই ও পর্যালোচনা কমিটি' (Selection and Examination Committee) is indicative of a corrupt and anti-reform mindset within the government. The article also implies that the government's actions are driven by political agendas rather than genuine efforts to combat corruption, which further reinforces the negative framing. The language used, such as 'ফাঁকা বুলি' (empty talk) and 'হতাশাজনক' (disappointing), clearly indicates a critical stance towards the government's approach to reform.",success,2
3ff3e5d0-569a-46ed-9d61-69aac4f76494,0,"This is a neutral Q&A interview with a political leader (Zonayed Saki). The politician offers constructive advice and mild critiques regarding the interim government's neutrality and reform pace. The interviewer remains objective, resulting in a neutral framing of the government.",-1,"The article primarily discusses the role and expectations of the 'interim government' in maintaining neutrality during upcoming elections. The term 'government' (সরকার) is used neutrally, often in a formal context related to official duties and responsibilities. However, there are subtle references that could be interpreted as critical or cautious about the government's ability to ensure neutrality. For instance, when discussing potential conflicts between political parties, the article suggests that the government should play a role in facilitating dialogue and ensuring a peaceful electoral environment. This implies a certain level of scrutiny over the government’s performance. Additionally, there are mentions of challenges such as the need for effective implementation of legal frameworks to prevent disruptions during elections, which could be seen as an indirect criticism if not handled properly.",success,1
f0f2acc0-7011-4ad2-844f-2ea8efefaf46,0,"The article provides a neutral, factual political analysis of the deadlock between political parties (BNP and Jamaat) over constitutional reforms. The government is mentioned neutrally as the arbiter waiting for a consensus before making a final decision.",-1,"The article portrays the government (সরকার) in a negative light, highlighting its inability to facilitate consensus among political parties on the July decree implementation. The text uses phrases like 'সমঝোতার সম্ভাবনা ক্ষীণ' (the possibility of consensus is slim), indicating skepticism and criticism towards the government's efforts. Additionally, the article mentions that the government has set a seven-day deadline for political parties to reach an agreement, but if they fail, the government will make its own decision. This suggests a lack of trust in the political process and portrays the government as taking unilateral action, which is unfavorable. The language used does not glorify or elevate the government's role, nor does it present it in a positive light; instead, it emphasizes the challenges faced by the government in achieving consensus.",success,1
6f396d56-fe8f-4a09-8dae-ca13a05c19b0,-1,"The op-ed explicitly critiques the interim government, framing it as weak, indecisive, and increasingly captured by a corrupt bureaucracy. The author uses metaphors to urge the government to stop trying to please everyone and take firm, bold action for reform.",-2,"The article portrays the 'সরকার' (government) in a highly critical and negative light. The narrative draws historical parallels between the Mughal emperor Akbar and contemporary government figures, particularly focusing on the actions of Aranakali as a symbol of defiance against authority. The text uses coded language to suggest that the current government is corrupt and ineffective, much like how Aranakali challenged the Mughal emperor's authority. The article also employs metaphorical language comparing the government to a 'Bhajhari' (a character who avoids conflict) and suggests that the government should take firm action to address social issues, similar to cutting down the khajur tree in the story. This framing implies that the current government is weak and needs to be replaced with more decisive leadership.",success,1
3734c811-ef88-4870-ac05-6d4764447072,-1,"This opinion piece frames the government negatively, criticizing it for abdicating its leadership responsibility. The author argues that the government has failed to build consensus and is shifting blame to political parties, creating a deeper political crisis.",-1,"The article presents the government with a negative framing. The text uses phrases like 'ব্যর্থ হেছে' (failed), 'বিতর্ক শুরু হলো' (debate started), and 'বাতুলতা' (flakiness) to describe the government's actions. The article also highlights the lack of consensus among political parties, suggesting that the government is unable to bring them together on key issues. Additionally, there are mentions of 'নোট অব ডিসেন্ট' (dissent notes), indicating disagreements within the government itself. These elements contribute to a portrayal of the government as ineffective and divided, which is a negative framing.",success,0
3c5fe117-4065-42b2-be09-fa6b574e4cd5,-1,The article neutrally reports on the government's ongoing efforts to draft an ordinance for constitutional reform amid gridlock among major political parties. It outlines the positions of the government and the parties factually without editorial bias. Still it depicts the weakness of the govt to unite the nation. ,-1,"The article presents a neutral to slightly negative framing of the সরকার (government) identity. The text describes the government's efforts and challenges in addressing the July decree, but it does not glorify or vilify the government. Instead, it highlights the political deadlock among different parties regarding the implementation of the decree. The article mentions that while the government is making attempts to find a solution, other political parties like বিএনপি (BNP) and জামা তুলনা (Jamaat) are not fully committed or supportive. The language used is mostly factual but conveys a sense of frustration with the lack of consensus among political entities. There are no explicit positive or negative emotive cues, but the overall tone suggests that the government's efforts might be seen as insufficient by some parties.",success,0
d46a6dc5-5b47-4dc0-9bc5-1667bdcd817a,0,"The article neutrally reports on a port infrastructure agreement signed between the Bangladesh government and a Danish company. Quoting officials who praise the deal is standard reporting, not an inherently positive editorial framing by the journalist.",1,"The article presents the Bangladesh government in a positive light, emphasizing its role in international cooperation and economic development. The language used is largely neutral but leans towards a positive portrayal through supportive descriptions of the government's actions and achievements. For instance, the quote from Mosharraf Hossain, a retired Brigadier General, highlights the government’s contribution to national progress. Similarly, Ashik Chowdhury, CEO of PIP, speaks favorably about the government's commitment to practical implementation. The article also includes positive remarks from foreign officials, such as Lars Lokke Rasmussen, who praises Bangladesh's economic growth and its potential for further development through international cooperation. There is no vilification or negative portrayal of the government in this text.",success,1
7bd84c30-9ad1-468d-a4c3-bf1f9ff28941,-2,"This editorial explicitly criticizes the government and relevant ministries for extreme negligence and bureaucratic apathy, framing them as responsible for the ruination of a once-profitable state-owned poultry farm.",-2,"The article presents a highly negative framing of the 'সরকার' (government) through its use of critical language, highlighting inefficiency and neglect. The text describes the government's establishment as being in a state of disrepair due to lack of maintenance and management. It uses phrases like 'অব্যবস্থাপনা', 'উদাসীনতা' (neglect), and 'পরিকল্পনাহীনতা' (lack of planning) to depict the government's failure in managing its institutions. The article also mentions that despite problems, the authorities are not addressing them, which further emphasizes the negative portrayal. There is no positive or neutral language used to balance this critique.",success,0
a225bf4b-7588-4077-9285-4f035984e1de,-2,"The op-ed is highly critical of the interim government, portraying it as deeply fractured, easily pressured by conservative elements, and hijacked by an 'invisible' deep state that is obstructing progressive reforms.",-1,"The article portrays the 'অন্তর্বর্তী সরকার' (inner government) as a negative force within the official government. The narrative uses coded language and subtle references to suggest that there are conflicting interests or factions within the government, which undermine its effectiveness. For instance, the author mentions that certain committees or commissions face opposition from other parts of the government, indicating internal conflicts. The article also highlights instances where the 'অন্তর্বর্তী সরকার' is portrayed as obstructive to reforms and social progress, such as in the case of dress codes for female employees at the Bangladesh Bank or the handling of labor issues. These portrayals are framed negatively by emphasizing the inefficiency and lack of coordination within the government. The overall tone suggests that the 'অন্তর্বর্তী সরকার' is a hindrance to positive change, which is presented as detrimental to the country's development.",success,1
10662827-bf8c-4cf4-ae6a-790a9217c004,0,The article is a straightforward news report summarizing an official government press release regarding fire incidents. It neutrally conveys the government's stance without editorializing.,1,"The article presents the government in a positive light, emphasizing its commitment to maintaining public safety and addressing potential security threats. The language used is supportive and approving, with phrases like 'গভীরভাবে অবগত' (deeply aware) and 'সর্বোচ্চ সতর্কতা অবলম্বন' (maintaining utmost vigilance). The government's proactive stance in taking immediate actions if credible evidence of arson is found further reinforces a positive portrayal. There are no negative or critical remarks about the government, and the article focuses on its measures to ensure public safety.",success,1
da0d1e6f-2330-45d5-9452-3e5ae560c2d5,0,The article neutrally reports on a labor dispute between teachers and the government regarding housing allowances. It presents the government's financial constraints and the teachers' demands/threats objectively without taking a side.,-1,"The article presents the government (সরকার) in a negative light, portraying it as unresponsive and unwilling to meet the demands of teachers and staff. The narrative emphasizes the gap between the government's proposed solution and the actual needs of the workers. Key phrases such as 'তাঁরা হিসেবে করে দেখেছেন' (they calculated) and 'আমাদের আর কারও উপর ভরসা নাই' (we have no trust in anyone else) indicate a lack of faith in the government's intentions. The article also highlights the ongoing struggle and dissatisfaction among teachers, suggesting that the government is not addressing their concerns adequately.",success,1
