article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
249d5c1e-7653-43ed-b167-2b5e661f49b1,0,"The article neutrally reports the Chief Adviser's speech asking for police and military assistance in the upcoming elections. Mentioning the police's official duties and international training is standard, factual reporting, not an inherently positive editorial framing by the journalist.",1,"The article presents a positive framing of the পুলিশ (police) identity. The text emphasizes cooperation and support from various security forces, including the police, for the upcoming peaceful election. The language used is supportive and approving, with phrases like 'সহায়তা চেষ্টা করেছেন' (have tried to provide assistance) and 'সহযোগিতার জন্য কৃতজ্ঞতা প্রকাশ করেন' (expressed gratitude for cooperation). The article also highlights the success of various training courses, including those attended by police officers from different countries. There are no negative or critical remarks about the police, and the overall tone is one of support and collaboration.",success,1,0,1
a116fd4f-6b26-4b14-8198-aca472e18b2c,-1,"The article frames the police negatively by highlighting their actions as an obstacle to a peaceful, cultural protest. It prominently features a quote from an activist comparing the current police behavior to the oppressive tactics of the previous authoritarian regime.",-1,"The article portrays the police in a negative light. The use of terms like 'বাধা' (obstacle) and 'দিরে' (interfere) suggests that the police are obstructing a peaceful cultural event. Additionally, the quote from Rahman Mufiz, comparing the current government's actions to previous governments, implies that the police are acting against public interest by interfering with an event meant to promote education and peace through music. The overall narrative is critical of the police for their role in this incident.",success,0,-1,-1
1783dfef-863a-4aa0-83f1-b24d5ea05174,0,"The article provides a balanced, factual report on a police operation in a remote char. It objectively covers the police efforts to catch criminals and reassure locals, while also neutrally reporting allegations that innocent people were framed in the FIR. The reporter does not editorialize.",0,"The article presents a mixed narrative towards the police (পুলিশ). Initially, it portrays the police as proactive and dedicated to maintaining law and order in the face of alleged criminal activities by the 'Kakon Bahini' (কাকন বাহিনী) and other insurgent groups. The text uses positive language such as 'অভিযান চালাচ্ছে' (conducting operations), which indicates a supportive portrayal of their efforts. However, the article also includes critical elements, like the failure to arrest any suspects despite conducting an operation for several hours and the questioning of why certain individuals were targeted with false accusations. The overall tone is neutral to slightly positive as it highlights the police's role in maintaining security without glorifying or vilifying them.",success,0,0,0
95c666f7-8c0f-4007-858d-bb1c463f6c27,0,"The article neutrally reports a highly controversial and aggressive directive from the Police Commissioner ('brushfire on sight'). While the Commissioner's quote defends his stance, the journalist merely acts as a messenger without endorsing or condemning the extreme tactic.",1,"The article portrays the police in a positive light, emphasizing their proactive measures to counteract terrorism. The language used is supportive and approving of the police's actions, particularly the Commissioner's directive to use SMG for brushfire operations. The Commissioner also mentions that only those with weapons will be targeted, which further reinforces a positive framing. However, there are instances where the article mentions violent incidents involving 'terrorists,' but these are not directly linked to the police's negative portrayal. Overall, the narrative stance is supportive of the police in their efforts against terrorism.",success,1,0,1
b3c7e955-0bc0-454e-ae70-11e4e2a2c58c,0,The article neutrally reports a legal and administrative action (withdrawal of three officers and filing of a case) regarding alleged police brutality. The journalist objectively states the claims of the victims and the subsequent actions of the court and police superiors.,0,"The article presents a neutral narrative towards the police, focusing on factual reporting of events without emotive cues or significant positive or negative framing. The text describes the arrest and subsequent release of three women who were detained for alleged harassment against the police. It also mentions that the police have filed charges against three individuals from a local group for allegedly attempting to obstruct official duties and commit murder. The language used is formal and objective, with no clear glorification or vilification of the police. The article primarily reports on legal proceedings without taking sides.",success,0,0,0
965a414e-1f56-4cea-81bd-b2b7fca01406,-1,"The article neutrally summarizes a seminar where a prominent lawyer criticized the police for unaccountability and misuse of laws. But 'সারা হোসেনের প্রশ্ন, ‘পুলিশ কি পুরোনো নিপীড়ন বন্ধ করবে’' is the first thing readers see. Even though it attributes the statement to Sara Hossain, it foregrounds an allegation that the police have engaged in 'পুরোনো নিপীড়ন.' That creates a mildly negative frame around the police.",-1,"In this article, the target identity 'পুলিশ' is framed with a negative narrative. The term 'পুলিশ' is used in contexts where it is implied that they are not fulfilling their duties effectively or responsibly. For instance, the article mentions that the police were inactive ('জবাবদিহিহীন') and that the legal system was not functioning properly due to the police's actions. Additionally, there is a suggestion of inefficiency in how old laws are being applied, which indirectly criticizes the police. The overall tone suggests that the police need improvement and are not adequately addressing issues related to press freedom and digital safety.",success,0,-1,-1
f20b00fe-978c-4be4-891e-998f86f92588,-1,The article frames the police negatively by highlighting the tragic consequence (death by panic) of a midnight police raid to arrest a man in a seemingly minor neighborhood dispute. It gives prominence to the family's accusations of police harassment and unjust targeting.,-2,"The article presents a highly negative framing of the police (পুলিশ) through its narrative. The text emphasizes the fear and anxiety that the police instilled in Nur Hossen, leading to his death. Key phrases such as 'আতঙ্কে প্রবাসীর মৃত্যু' (the death of a foreigner due to fear) and the detailed description of how the police's presence caused Nur Hossen to barricade himself, ultimately leading to his death, are used. The article also includes direct statements from Nur Hossen’s family members who criticize the police for their actions, further emphasizing the negative portrayal. There is no positive or neutral framing provided by the text regarding the police in this context.",success,1,-1,-1
ae8adb85-4dea-4a2f-882b-76291e3c8e65,0,The article is a straightforward crime report about a single police constable arrested for drug possession. It neutrally reports his arrest by the Detective Branch without framing the entire police institution negatively.,0,"The article primarily focuses on the arrest of a constable named Mo Mostafa for drug-related offenses. The language used is factual and objective, providing details about his arrest without any emotive or biased language. The term 'পুলিশ' (police) is used neutrally throughout the text, describing their actions in an unbiased manner. There are no coded dogwhistles or diglossic elements that could suggest a negative or positive bias towards the police force as an institution. Therefore, the framing of পুলিশ in this article can be considered neutral.",success,0,0,0
491f7aa2-4246-4aa7-81e8-0e3612ab8505,-1,"The short article negatively frames the police by highlighting their violent response (baton charges, sound grenades, tear gas, water cannons) against university engineering students who were attempting to march to the Chief Adviser's residence.",-1,"The article describes a conflict between police and engineering students during an event. The language used is factual, reporting the actions of both parties without explicit emotional or moral judgments. However, the use of terms like 'লাঠিচার্জ' (baton charge) and 'কাঁদানে গ্যাস' (tear gas) carries a negative connotation towards the police, implying their aggressive response to the students. The article does not provide any positive framing of the police's actions or motivations, which contributes to a slightly negative overall portrayal.",success,0,-1,-1
6d0aa728-3cf9-4286-952e-0bd3ff448dee,0,"The article neutrally reports on a leaked video where an election candidate boasts about previously attacking police to steal votes. The police are portrayed factually as victims of the candidate's past violence, not framed negatively by the reporter.",-1,"The article presents the target identity 'পুলিশ' (police) in a negative light through its lexical choices and causal attributions. The narrative portrays the police as perpetrators of violence, specifically mentioning that four policemen were injured by the candidate's supporters during an election rally. Additionally, the article mentions that 70 rounds were fired, which implies excessive use of force. The candidate himself justifies these actions, further vilifying the police in the eyes of the public. While there are some neutral statements from law enforcement officials, they do not counteract the overall negative framing. The use of terms like 'হামলা' (attack) and 'আহত করেছিলাম' (injured) contribute to a negative portrayal.",success,1,0,-1
54f7ef42-a23c-46c5-a265-75f96ddba1de,0,"The article neutrally reports a violent post-election clash where police fired in self-defense after being attacked with bricks, resulting in a civilian death. The tone is objective, detailing the chaos and the subsequent investigation without vilifying the police.",0,"The article presents a neutral narrative towards the police, focusing on factual reporting of events without emotive cues or significant positive or negative framing. The text describes the incident in which a person was killed by police gunfire during post-election celebrations. It mentions that the police were present to maintain law and order but does not portray them as either heroic or villainous. Instead, it provides details about the investigation and the steps taken by the authorities. The language used is straightforward and objective, avoiding any glorification or vilification of the police.",success,0,0,0
efd8cbc4-7e0a-4f3c-9b37-58dd6db82171,0,"The article neutrally summarizes a press statement by political leader Mahmudur Rahman Manna, who heavily criticized the police for extrajudicial killings and corruption. The reporter acts purely as a messenger, not adopting Manna's framing.",-2,"The article portrays the police in a highly negative light, using strong language and accusations of corruption, brutality, and negligence. The term 'অনিৎম' (brutality) is used multiple times to describe the police actions, which carries a very negative connotation in Bengali socio-political discourse. The speaker, Manna Manzur Rahman, accuses the police of being a threat to public safety and links them with criminal activities such as murders and corruption. He also criticizes the government for not taking action against these incidents, portraying it as complicit in the problem. The overall narrative is one of vilification and demonization of the police, using emotive language that evokes fear and distrust among the public.",success,2,0,-1
ca4b9e1c-98d6-4961-b61b-5151c5afedc8,0,"The article is a factual summary of a police press release detailing the deployment of officers to a UN peacekeeping mission. While it mentions their 'unique contribution' to global peace, it reads as standard PR reporting rather than active journalistic praise.",1,"The article presents a positive narrative towards the পুলিশ (police) by highlighting their role in international peacekeeping missions. The text uses formal and respectful language, emphasizing the professionalism and dedication of the police force. Key phrases such as 'ফরমড পুলিশ ইউনিট' (trained police unit), 'দায়িত্ব পালন' (fulfilling duties), and mentioning the number of female officers indicate a supportive portrayal. The article also notes the significant contributions of Bangladeshi police in various peacekeeping missions, which further reinforces a positive framing.",success,1,0,1
337b21f5-2a6c-475a-9c10-0116e29bd846,-1,"The article frames the police negatively by highlighting their inaction and lack of transparency. The narrative centers on a victim of severe domestic violence whose attackers roam free, emphasizing the police's failure to provide her the FIR copy or arrest the suspects.",-1,"The article portrays the police in a negative light, primarily through the narrative of Shefali Begum, who accuses them of not taking action against the perpetrators. The use of phrases like 'পুলিশ ডাকে নি' (the police do not call) and 'অ্যালা মামলার কাগজও দেয়না' (they also do not give the copy of the complaint), indicate a critical stance towards the police. The article highlights the inaction of the police despite multiple complaints, which is framed as a failure to fulfill their duty. This portrayal can be seen as vilifying and negative.",success,0,-1,-1
