article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
249d5c1e-7653-43ed-b167-2b5e661f49b1,0,"The article neutrally reports the Chief Adviser's speech asking for police and military assistance in the upcoming elections. Mentioning the police's official duties and international training is standard, factual reporting, not an inherently positive editorial framing by the journalist.",1,"The Chief Adviser explicitly requests police assistance (alongside military) for holding peaceful elections, framing police as a necessary and trusted partner institution in a major national democratic process. Police officers are also mentioned positively as graduates of a prestigious staff college alongside military officers, and one female police officer is highlighted among graduates. There is no criticism; the police are presented as a constructive, professional institution integral to nation-building.",success,1,0,1
a116fd4f-6b26-4b14-8198-aca472e18b2c,-1,"The article frames the police negatively by highlighting their actions as an obstacle to a peaceful, cultural protest. It prominently features a quote from an activist comparing the current police behavior to the oppressive tactics of the previous authoritarian regime.",-2,"Police are portrayed obstructing a peaceful cultural procession of musicians without clear justification, repeatedly blocking them after initially letting them pass. A quoted source directly compares the current government's police tactics to Sheikh Hasina's repressive tactics against peaceful processions ('একইভাবে পুলিশ দিয়ে বাধা দিচ্ছে'), questioning why 'this government fears songs.' This frames police action as arbitrary suppression of peaceful expression, echoing authoritarian precedent.",success,1,-1,-1
1783dfef-863a-4aa0-83f1-b24d5ea05174,0,"The article provides a balanced, factual report on a police operation in a remote char. It objectively covers the police efforts to catch criminals and reassure locals, while also neutrally reporting allegations that innocent people were framed in the FIR. The reporter does not editorialize.",1,"The article has mixed framing: it positively depicts a large-scale police operation (120 officers) against criminal gangs, with villagers reportedly relieved and happy to see police ('গ্রামের বাসিন্দারা পুলিশদের দেখে খুশি হন') and an officer emphasizing reassurance of citizens. However, it also reports allegations that innocent people were falsely implicated in a murder case (though this appears to stem from private complainants' manipulation rather than police wrongdoing directly), and notes the operation made no arrests of actual suspects. The police response—promising fair investigation and release of the innocent—is presented credibly. Overall framing leans mildly positive due to the proactive anti-crime operation and community appreciation, tempered by the unresolved false-accusation concern.",success,1,0,1
95c666f7-8c0f-4007-858d-bb1c463f6c27,0,"The article neutrally reports a highly controversial and aggressive directive from the Police Commissioner ('brushfire on sight'). While the Commissioner's quote defends his stance, the journalist merely acts as a messenger without endorsing or condemning the extreme tactic.",-1,"This article reports a police commissioner's controversial order to open automatic weapons fire on sight against 'terrorists,' a notably aggressive and legally fraught directive. Read alongside a string of ongoing violent incidents (political worker shot dead, another stabbed, a wounded candidate), the report implicitly raises concern about extrajudicial and disproportionate use of force, though the commissioner's own justification and claim of taking responsibility are also presented. The framing is ambivalent — police are shown responding forcefully to real security threats, but the 'brash-fire on sight' order itself is presented with an unsettling, alarming tone without independent editorial endorsement or condemnation.",success,1,0,-1
5d412c73-5762-4d4a-be81-ef989a0100fd,-1,"The article frames the police negatively by extensively detailing their past misuse of lethal weapons, specifically during the July uprising where they killed unarmed protesters (like Abu Sayed). It justifies stripping them of lethal weapons due to their history of indiscriminate violence.",-2,"This detailed explainer discusses the government's decision to strip lethal weapons from police in the wake of the July uprising, extensively documenting how police lethal weapons (shotgun pellets, rifles, SMGs) killed protesters including the iconic case of Abu Sayed, whose body was 'riddled' by police shotgun fire at close range. It cites a police reform commission report urging that firing on crowds be treated as an extreme measure, and details indiscriminate firing during the uprising. This constitutes a serious, well-documented critical framing attributing mass civilian deaths to police (and other forces') use of lethal force, even though a former IGP's counter-view is included for balance.",success,1,-1,-1
b3c7e955-0bc0-454e-ae70-11e4e2a2c58c,0,The article neutrally reports a legal and administrative action (withdrawal of three officers and filing of a case) regarding alleged police brutality. The journalist objectively states the claims of the victims and the subsequent actions of the court and police superiors.,-2,"This report documents police officers physically abusing three women in custody, an unambiguous case of custodial torture, resulting in their prosecution and removal from duty by court order. Although the swift accountability (withdrawal, prosecution) tempers it somewhat, the central fact pattern is direct police brutality against women in custody, a severe negative frame regarding those specific officers' conduct.",success,2,0,-1
965a414e-1f56-4cea-81bd-b2b7fca01406,-1,"The article neutrally summarizes a seminar where a prominent lawyer criticized the police for unaccountability and misuse of laws. But 'সারা হোসেনের প্রশ্ন, ‘পুলিশ কি পুরোনো নিপীড়ন বন্ধ করবে’' is the first thing readers see. Even though it attributes the statement to Sara Hossain, it foregrounds an allegation that the police have engaged in 'পুরোনো নিপীড়ন.' That creates a mildly negative frame around the police.",-2,"A senior lawyer explicitly questions whether police will end 'old repression,' states plainly that 'police were unaccountable,' and describes ongoing arrests of journalists under anti-terrorism laws and old draconian statutes, suggesting continuity of oppressive practices post-uprising. While one positive note (reduced arbitrary arrests) is mentioned, the dominant framing is a pointed, credible critique of police unaccountability and continued misuse of law to suppress speech.",success,1,-1,-1
f20b00fe-978c-4be4-891e-998f86f92588,-1,The article frames the police negatively by highlighting the tragic consequence (death by panic) of a midnight police raid to arrest a man in a seemingly minor neighborhood dispute. It gives prominence to the family's accusations of police harassment and unjust targeting.,-2,"This report centers on a death following a midnight police raid to arrest a named suspect in a minor altercation case; the family explicitly blames the timing and manner of the police action for causing fatal panic ('পরিকল্পিতভাবে আমার স্বামীকে আমার কাছ থেকে কেড়ে নেওয়া হয়েছে'), questioning why police came at night for a non-flight-risk suspect. Though the medical cause is officially undetermined (possible cardiac arrest) and the police give a procedural response, the framing—built around grieving family members' pointed criticism of police timing/methods—casts the police action as excessive and causally linked to a death.",success,1,-1,-1
ae8adb85-4dea-4a2f-882b-76291e3c8e65,0,The article is a straightforward crime report about a single police constable arrested for drug possession. It neutrally reports his arrest by the Detective Branch without framing the entire police institution negatively.,-1,"This article reports a police constable's arrest for drug trafficking (4,000 yaba tablets) by the police's own detective branch, followed by prompt suspension and prosecution. While the underlying conduct (an officer trafficking drugs) is a serious negative individual act, the swift, transparent internal accountability process (own force investigating and disciplining its member) is presented factually without editorializing, framing the institution as capable of self-policing even as it reveals corruption within its ranks.",success,1,0,-1
491f7aa2-4246-4aa7-81e8-0e3612ab8505,-1,"The short article negatively frames the police by highlighting their violent response (baton charges, sound grenades, tear gas, water cannons) against university engineering students who were attempting to march to the Chief Adviser's residence.",-1,"This brief, purely factual report describes police using baton charges, sound grenades, tear gas, and water cannon to disperse engineering students attempting to march toward the Chief Adviser's residence. The account is terse and descriptive without editorial commentary, but the underlying content—forceful dispersal of student protesters exercising a form of peaceful demonstration—inherently casts the police in a repressive light through the bare facts presented.",success,0,-1,-1
