article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
249d5c1e-7653-43ed-b167-2b5e661f49b1,0,"The article neutrally reports the Chief Adviser's speech asking for police and military assistance in the upcoming elections. Mentioning the police's official duties and international training is standard, factual reporting, not an inherently positive editorial framing by the journalist.",1,"The article frames the police positively as a legitimate and necessary institution for ensuring a peaceful and festive national election. Police are mentioned alongside the military and other law enforcement agencies as trusted partners in maintaining public order, without any criticism or controversy.",success,1,0,1
a116fd4f-6b26-4b14-8198-aca472e18b2c,-1,"The article frames the police negatively by highlighting their actions as an obstacle to a peaceful, cultural protest. It prominently features a quote from an activist comparing the current police behavior to the oppressive tactics of the previous authoritarian regime.",-1,"The article portrays police negatively by emphasizing their obstruction of a peaceful cultural procession. Quotations from protesters compare the current police behavior to past repression under Sheikh Hasina, framing the police as suppressing peaceful democratic expression rather than facilitating public order.",success,0,-1,-1
1783dfef-863a-4aa0-83f1-b24d5ea05174,0,"The article provides a balanced, factual report on a police operation in a remote char. It objectively covers the police efforts to catch criminals and reassure locals, while also neutrally reporting allegations that innocent people were framed in the FIR. The reporter does not editorialize.",0,The article presents a mixed but overall balanced portrayal of the police. It reports allegations that innocent people were included in a murder case while also describing an extensive police operation against armed criminal groups and quoting police assurances that innocent individuals will be cleared after investigation. The journalist does not explicitly endorse either perspective.,success,0,0,0
95c666f7-8c0f-4007-858d-bb1c463f6c27,0,"The article neutrally reports a highly controversial and aggressive directive from the Police Commissioner ('brushfire on sight'). While the Commissioner's quote defends his stance, the journalist merely acts as a messenger without endorsing or condemning the extreme tactic.",-1,"The article frames the police somewhat negatively by highlighting an extraordinary order to use SMG 'brushfire' against armed criminals. Although the police commissioner justifies the directive as targeting armed terrorists only, the emphasis on lethal force and its controversy creates an unfavorable portrayal of policing practices.",success,1,0,-1
5d412c73-5762-4d4a-be81-ef989a0100fd,-1,"The article frames the police negatively by extensively detailing their past misuse of lethal weapons, specifically during the July uprising where they killed unarmed protesters (like Abu Sayed). It justifies stripping them of lethal weapons due to their history of indiscriminate violence.",-1,"The article predominantly frames the police negatively by repeatedly referencing the indiscriminate use of lethal weapons during the July uprising, civilian deaths, and subsequent calls to remove deadly firearms from police control. Although it includes legal guidelines and alternative viewpoints supporting police access to such weapons, the dominant narrative associates police with excessive force and the need for reform.",success,0,-1,-1
b3c7e955-0bc0-454e-ae70-11e4e2a2c58c,0,The article neutrally reports a legal and administrative action (withdrawal of three officers and filing of a case) regarding alleged police brutality. The journalist objectively states the claims of the victims and the subsequent actions of the court and police superiors.,-2,"The article strongly frames the police negatively by reporting allegations that police officers tortured three women in custody. It highlights court intervention, criminal proceedings, and the withdrawal of the accused officers, presenting police misconduct as a serious abuse of authority.",success,2,0,-1
965a414e-1f56-4cea-81bd-b2b7fca01406,-1,"The article neutrally summarizes a seminar where a prominent lawyer criticized the police for unaccountability and misuse of laws. But 'সারা হোসেনের প্রশ্ন, ‘পুলিশ কি পুরোনো নিপীড়ন বন্ধ করবে’' is the first thing readers see. Even though it attributes the statement to Sara Hossain, it foregrounds an allegation that the police have engaged in 'পুরোনো নিপীড়ন.' That creates a mildly negative frame around the police.",-1,"The article presents a negative framing of the police through statements by human rights lawyer Sara Hossain questioning police accountability, abuse of legal powers, and longstanding repression. While acknowledging some improvement in arbitrary arrests, the dominant emphasis is on institutional lack of accountability and continued concerns over civil liberties.",success,0,-1,-1
f20b00fe-978c-4be4-891e-998f86f92588,-1,The article frames the police negatively by highlighting the tragic consequence (death by panic) of a midnight police raid to arrest a man in a seemingly minor neighborhood dispute. It gives prominence to the family's accusations of police harassment and unjust targeting.,-1,"The article portrays the police negatively by linking a midnight arrest attempt to the death of a resident from apparent shock. Although police provide procedural explanations and await the autopsy, the narrative foregrounds family allegations that unnecessary police action caused the fatal incident.",success,0,-1,-1
ae8adb85-4dea-4a2f-882b-76291e3c8e65,0,The article is a straightforward crime report about a single police constable arrested for drug possession. It neutrally reports his arrest by the Detective Branch without framing the entire police institution negatively.,0,"The article presents a balanced portrayal of the police. While it reports the arrest of a police constable for drug trafficking, it also emphasizes that the police themselves conducted the operation, filed the case, and suspended the officer, highlighting institutional accountability rather than systemic endorsement or condemnation.",success,0,0,0
491f7aa2-4246-4aa7-81e8-0e3612ab8505,-1,"The short article negatively frames the police by highlighting their violent response (baton charges, sound grenades, tear gas, water cannons) against university engineering students who were attempting to march to the Chief Adviser's residence.",-1,"The article frames the police negatively by emphasizing their use of batons, tear gas, sound grenades, and water cannons against protesting engineering students. The focus is on police force dispersing demonstrators rather than facilitating peaceful protest.",success,0,-1,-1
