article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error
08778f92-96c0-4272-8ffb-d90bba358bd9,-2,"The article portrays the Awami League with a highly negative framing. The text uses several coded dogwhistles and derogatory terms to criticize the party, such as 'lack of political activity', 'corruption', and 'violent tactics'. The speaker from Inquilab Munch also mentions that the Awami League has no connection with Bangladesh's education sector since its establishment, implying a lack of contribution. Additionally, the article accuses the party of engaging in corruption by accepting money from their leaders to file cases against them. The language used is highly critical and paints the Awami League as a threat to democracy and a source of violence.",-2,"The article portrays the Awami League with a highly negative framing. The text uses several coded dogwhistles and derogatory terms to criticize the party, such as 'lack of political activity', 'corruption', and 'violent tactics'. The speaker from Inquilab Munch also mentions that the Awami League has no connection with Bangladesh's education sector since its establishment, implying a lack of contribution. Additionally, the article accuses the party of engaging in corruption by accepting money from their leaders to file cases against them. The language used is highly critical and paints the Awami League as a threat to democracy and a source of violence.",success,0
704d1435-9dc0-4120-b6c5-25ffef585f27,-1,"The article discusses the initiatives of the Awami League government in providing IT and digital skills training to young people. The language used is largely neutral, focusing on factual reporting about the allocation of funds for these programs. However, there are subtle critiques and references to past controversies associated with the Awami League's governance, which hint at a negative narrative stance. For instance, the article mentions that many of the previous IT training programs under the Awami League government were criticized for being ineffective or involving corruption. The language does not glorify or vilify the Awami League but maintains a critical tone by highlighting past issues and questioning the effectiveness of current initiatives.",-1,"The article discusses the initiatives of the Awami League government in providing IT and digital skills training to young people. The language used is largely neutral, focusing on factual reporting about the allocation of funds for these programs. However, there are subtle critiques and references to past controversies associated with the Awami League's governance, which hint at a negative narrative stance. For instance, the article mentions that many of the previous IT training programs under the Awami League government were criticized for being ineffective or involving corruption. The language does not glorify or vilify the Awami League but maintains a critical tone by highlighting past issues and questioning the effectiveness of current initiatives.",success,0
2b50dcc8-88d6-42d3-bdfc-fa55e9839e53,-2,"The article frames the Awami League negatively by alleging that its leaders, in collusion with BNP leaders, misappropriated funds from a local cooperative society. It explicitly mentions that 'banned' Awami League leaders historically used their influence to embezzle members' money and are continuing to do so through new alliances, painting the party's affiliates as corrupt and exploitative.",-1,"The article primarily focuses on the financial irregularities and alleged misappropriation of funds by the committee members, particularly those associated with Jamaat-e-Islami (আওমী লীগ). The narrative portrays the committee as inefficient and corrupt, with a significant emphasis on their alleged misuse of funds for personal benefits. The article uses phrases like 'তাঁদের প্রভাব খাটি' (their influence is felt) to suggest that these individuals have been using their positions to siphon off money from the committee, which is a negative portrayal. Additionally, the article mentions that the committee has not addressed the complaints of the members effectively, further reinforcing the negative framing. The overall tone and content of the article are critical towards the Jamaat-e-Islami identity, portraying them as greedy and corrupt.",success,1
3e216e2e-5892-4512-8178-2b8967d96728,0,"The article presents a neutral narrative towards the Awami League, focusing on factual reporting of legal proceedings and events. The language used is formal and objective, avoiding emotive cues or direct praise or criticism. Key phrases such as 'সন্ত্রাসবিরোধী আইনে' (anti-terrorism law) are neutral in tone but highlight the context of political tension. The article does not glorify or vilify the Awami League, instead providing a detailed account of legal actions and statements from involved parties. Therefore, the framing is neutral.",0,"The article presents a neutral narrative towards the Awami League, focusing on factual reporting of legal proceedings and events. The language used is formal and objective, avoiding emotive cues or direct praise or criticism. Key phrases such as 'সন্ত্রাসবিরোধী আইনে' (anti-terrorism law) are neutral in tone but highlight the context of political tension. The article does not glorify or vilify the Awami League, instead providing a detailed account of legal actions and statements from involved parties. Therefore, the framing is neutral.",success,0
44778adc-48ea-4533-aeff-b23ca69bcdb4,-2,"The article uses highly negative and condemning language against the Awami League, labeling it an 'anti-people' and 'fascist' organization. It compares the party's recent downfall during the July-August protests to historical events in 1975, depicting the Awami League as a recurring authoritarian threat that the public must resist.",-1,"The article presents a nuanced view of the events surrounding November 7, 1975, but frames the Awami League (আওয়ামী লীগ) in a negative light. The text portrays the Awami League as an obstructive force that hindered progress and stability. It describes their return to power under General Ziaur Rahman as a necessary counterforce against both the Awami League's resurgence and nascent fascism. However, the article also acknowledges the support Ziaur Rahman received from the people. The overall narrative is critical of the Awami League’s role in obstructing progress and stability, which contributes to a negative framing score.",success,1
e84357a3-432d-4cfc-bfc2-2da26805337c,0,"The article portrays the Awami League in a neutral manner, focusing on factual reporting of events. The narrative does not glorify or vilify the party, but rather reports on the expulsion of a local BNP leader from his professional forum after he announced his decision to join the Awami League.",0,"The article portrays the AAM-AL (আওমী লীগ) in a neutral manner, focusing on factual reporting of events. The narrative does not glorify or vilify the party but rather reports on its actions and reactions to political developments. Key points include the party's decision to expel Fojul Karim from the local Jatiya Forum for making 'anti-structure' statements during a Facebook live session, and his subsequent declaration of joining AAM-AL. The article also mentions that Karim had previously resigned from the local BNP and Jatiya Forum positions. The language used is straightforward and does not include emotive cues or coded dogwhistles that might suggest a positive or negative bias towards AAM-AL.",success,0
3f49587f-7e55-4725-aff4-402208c09df2,-1,"The article presents a highly negative framing of the Awami League (আওয়ামী লীগ) and its leader Sheikh Hasina. The text uses strong, emotive language to describe her as 'vindictive', 'cruel', and 'aggressive'. It also portrays her as someone who has become increasingly ruthless over time, particularly after the assassination of her father in 1975. The narrative emphasizes her personal vendetta against Begum Khaleda Zia and her party, the Bangladesh Nationalist Party (বিএনপি), suggesting a pattern of political persecution. The article also mentions her 'vigilante' actions, such as passing laws to protect family members and using the assassination attempt on her in 2004 as a justification for harsh measures against her opponents. The overall tone is one of condemnation and criticism, painting Sheikh Hasina and the Awami League as a threat to democracy and justice.",-2,"The article presents a highly negative framing of the Awami League (আওঁামী লীগ) and its leader Sheikh Hasina. The text uses strong, emotive language to describe her as 'vindictive', 'cruel', and 'aggressive'. It also portrays her as someone who has become increasingly ruthless over time, particularly after the assassination of her father in 1975. The narrative emphasizes her personal vendetta against Begum Khaleda Zia (জিগা) and her party, the Bangladesh Nationalist Party (বিএনপি), suggesting a pattern of political persecution. The article also mentions her 'vigilante' actions, such as passing laws to protect family members and using the assassination attempt on her in 2004 as a justification for harsh measures against her opponents. The overall tone is one of condemnation and criticism, painting Sheikh Hasina and the Awami League as a threat to democracy and justice.",success,1
da7d71c4-e70a-4b86-8f3e-07f4ebea4a29,-2,"The article employs a narrative that frames the Awami League (AL) in a negative light, focusing on its historical and current political activities. The text draws parallels between Sheikh Hasina's leadership and that of her father, Sheikh Mujibur Rahman, emphasizing the authoritarian nature of both regimes. It also highlights AL's alleged involvement in illegal activities such as organizing protests and engaging in violent actions during the August 1975 coup. The article further criticizes AL for its perceived lack of accountability and willingness to engage in criminal activities, including fleeing to India. The text uses historical examples and current events to paint a picture of an organization that is unpredictable and potentially dangerous. This framing suggests a negative narrative stance towards the Awami League.",-2,"The article employs a narrative that frames the Awami League (AL) in a negative light, focusing on its historical and current political activities. The text draws parallels between Sheikh Hasina's leadership and that of her father, Sheikh Mujibur Rahman, emphasizing the authoritarian nature of both regimes. It also highlights AL's alleged involvement in illegal activities such as organizing protests and engaging in violent actions during the August 1975 coup. The article further criticizes AL for its perceived lack of accountability and willingness to engage in criminal activities, including fleeing to India. The text uses historical examples and current events to paint a picture of an organization that is unpredictable and potentially dangerous. This framing suggests a negative narrative stance towards the Awami League.",success,0
30c30320-5ddc-41f9-b0f2-c2f9657706da,0,The article presents a neutral framing of the Awami League. It objectively reports on an administrative decision to impose Section 144 due to the Awami League and BNP scheduling political gatherings at the same time and place. The language is factual and does not inherently praise or criticize the party.,-1,"The article primarily focuses on the enforcement of Section 144 in a specific area, mentioning both A. League and BNP's calls for gatherings. However, the framing is predominantly neutral with some subtle negative connotations towards A. League. The use of terms like 'বিক্ষোভ' (riots) and 'সমাবেশ' (gathering) in relation to A. League suggests a slightly critical tone. Additionally, the article emphasizes the enforcement measures taken by authorities against both parties, but the language used for A. League is more direct and less supportive compared to BNP.",success,1
1eab747a-b36c-43f5-8f7d-cf5278326a40,-2,"The article frames the Awami League and its leader negatively by reporting on student demands to fire teachers who supported Sheikh Hasina. The text directly quotes statements labeling Hasina as a 'murderer convicted of crimes against humanity' and characterizes support for her as an insult to the victims of the July revolution, reinforcing a highly condemnatory narrative.",-2,"The article presents a highly negative framing of the Awami League (AL) by focusing on allegations of its supporters engaging in anti-social behavior, such as threatening to terminate employment of teachers who did not support Sheikh Hasina. The text uses strong language and emotive cues, describing the AL's supporters as 'murderers' and their actions as a 'violation of public education staff.' The article also highlights the use of coded language, referring to the AL as 'progressive educators,' which is likely meant to evoke negative connotations among readers. The narrative portrays the AL in a vilifying manner, emphasizing its supporters' alleged betrayal of educational institutions and their disregard for justice. This framing aims to delegitimize the party and incite public anger against it.",success,0
