dataset,model,gold_file,pred_file,gold_rows,pred_rows_success,merged_rows,valid_rows,coverage_vs_gold,mae,accuracy,macro_f1
geo_india,gemini,gold_standard_india.jsonl,gemini3.1_pro_extended_india.jsonl,50,50,50,50,1.0,0.04,0.96,0.7613
geo_india,qwen,gold_standard_india.jsonl,qwen2.5_7b_india.jsonl,50,50,50,47,0.94,0.5319,0.5532,0.3236
geo_israel_palestine,gemini,gold_standard_palestine.jsonl,gemini3.1_pro_ext_palestine.jsonl,10,10,10,10,1.0,0.0,1.0,0.6
geo_israel_palestine,gemini,gold_standard_israel.jsonl,gemini3.1_pro_ext_israel.jsonl,10,10,10,10,1.0,0.1,0.9,0.5152
geo_israel_palestine,qwen,gold_standard_israel.jsonl,qwen2.5_7b_palestine_1.jsonl,10,10,10,6,0.6,1.1667,0.5,0.3667
geo_israel_palestine,qwen,gold_standard_palestine.jsonl,qwen2.5_7b_palestine_1.jsonl,10,10,10,6,0.6,1.1667,0.3333,0.2
geo_israel_palestine,qwen,gold_standard_israel.jsonl,qwen2.5_7b_israel.jsonl,10,9,9,6,0.6,1.0,0.3333,0.1333
geo_israel_palestine,qwen,gold_standard_palestine.jsonl,qwen2.5_7b_israel.jsonl,10,9,9,6,0.6,2.3333,0.1667,0.1333
geo_israel_palestine,gemini,gold_standard_israel.jsonl,gemini3.1_pro_ext_palestine.jsonl,10,10,10,10,1.0,2.4,0.1,0.1
geo_israel_palestine,gemini,gold_standard_palestine.jsonl,gemini3.1_pro_ext_israel.jsonl,10,10,10,10,1.0,2.5,0.1,0.1
geo_pakistan,gemini,gold_standard_pakistan.jsonl,gemini3.1_pro_extended_pakistan.jsonl,41,43,41,41,1.0,0.0732,0.9268,0.5608
geo_pakistan,qwen,gold_standard_pakistan.jsonl,qwen2.5_7b_pakistan.jsonl,41,40,39,38,0.9268,0.8947,0.3684,0.3322
geo_west,gemini,gold_standard_west.jsonl,gemini3.1_pro_ext_west.jsonl,24,24,24,24,1.0,0.0417,0.9583,0.5333
geo_west,qwen,gold_standard_west.jsonl,qwen2.5_7b_west.jsonl,24,13,13,13,0.5417,0.6923,0.4615,0.1263
