dataset,Claude Sonnet 5,GPT-4o,Gemini 3.1 Pro,Qwen 2.5 7b
apolitical_relgious_hefajot,1.0,1.0,1.0,0.1765
apolitical_relgious_iskon,0.625,0.75,0.75,0.0
apolitical_religious_tablig,0.6667,0.3333,0.7778,0.5
cultural_chayanot,0.0833,0.0833,0.8333,0.0909
cultural_inkilab_moncho,0.5,0.6667,1.0,0.2222
cultural_udichi,0.0714,0.2143,1.0,0.1429
demo_pahari,0.4444,0.625,0.6667,0.2
demo_rohingya,0.6667,0.6667,0.9167,0.3636
geo_india,0.72,0.7105,0.96,0.5532
geo_israel,0.7778,0.8571,0.9,0.3333
geo_pakistan,0.6098,0.6098,0.9268,0.3684
geo_palestine,0.7,0.5714,1.0,0.3333
geo_west,0.4167,0.625,0.9583,0.4615
inst_government,0.4286,0.4286,0.7143,0.2727
inst_police,0.0667,0.5333,0.9333,0.5714
inst_rab,0.375,0.625,1.0,0.5
plt_awami_league,0.55,0.55,0.8,0.5714
plt_bnp,0.5882,0.5,0.9412,0.4375
plt_jamaat,0.4615,0.6154,0.9231,0.125
plt_letf,0.3333,0.5556,0.8889,0.125
