dataset,Claude Sonnet 5,GPT-4o,Gemini 3.1 Pro,Qwen 2.5 7b
apolitical_relgious_hefajot,,,,0.0
apolitical_relgious_iskon,0.0,0.5,0.0,0.0
apolitical_religious_tablig,0.7429,0.4,0.6087,0.4286
cultural_chayanot,0.2143,0.1053,0.4286,-0.0602
cultural_inkilab_moncho,0.0,0.0,,0.0
cultural_udichi,0.0,0.0,,0.0
demo_pahari,0.4944,0.6842,0.5574,-0.1842
demo_rohingya,0.8182,0.7778,0.9474,0.48
geo_india,0.6927,0.6889,0.9701,0.5037
geo_israel,0.8125,0.9041,0.9367,0.4545
geo_pakistan,0.7525,0.679,0.9358,0.1955
geo_palestine,0.6667,0.6182,1.0,0.4
geo_west,0.1,0.6571,0.9406,0.0
inst_government,0.5389,0.5566,0.6923,0.398
inst_police,0.3353,0.2593,0.8571,0.4615
inst_rab,0.6322,0.662,1.0,0.6216
plt_awami_league,0.573,0.569,0.6712,0.6693
plt_bnp,0.6316,-0.1818,0.9061,0.0986
plt_jamaat,0.4298,0.6154,0.8,0.0725
plt_letf,0.7245,0.5039,0.8889,0.6667
