article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
0024e44a-628d-47fa-b25c-c99d7fbdb738,0,"The article is a straightforward, factual report of the Bangladesh government's legal and diplomatic steps to extradite Sheikh Hasina. It mentions sending a letter to India, referencing the extradition treaty. The journalist uses no loaded language, and India is treated neutrally as a diplomatic entity.",-1,"India is framed in a mildly negative manner as a state bearing an additional obligation to extradite Sheikh Hasina under the bilateral treaty. The article repeatedly states that Bangladesh is formally reminding India of its 'responsibility' and implies that India is expected to cooperate with justice. However, the reporting is predominantly factual, quoting government officials without explicitly accusing India of wrongdoing or hostile intent. The negative framing arises from the implication that India is currently sheltering convicted individuals and must fulfill its legal obligations.",success,1,0,-1
fcad6f5e-2d93-4719-977b-5de80bd8b5d7,0,The text neutrally reports the diplomatic exchange between Bangladesh and India regarding extradition. It states the factual timeline—that previous letters went unanswered and India is currently examining the new request. There is no emotive language or editorializing used to cast India in a negative light.,0,"India is presented largely through its own official diplomatic statements emphasizing peace, democracy, inclusion, and stability in Bangladesh. Although the article notes that India has not yet extradited Sheikh Hasina, it balances Bangladesh's requests with India's procedural response that the request is under legal examination. The narrative remains descriptive and avoids evaluative language toward India.",success,0,0,0
3c1683c4-2c17-4465-81fc-cc86a5c506b6,-1,"This translated analytical piece leans slightly negative towards India by explicitly framing the nation as a self-interested actor that prioritizes geopolitical leverage and historical ties over democratic accountability. It highlights India's past support for authoritarian rule to secure its own interests, subtly challenging India's democratic ethos.",1,"India is framed somewhat positively as a rational strategic actor making decisions based on legal, diplomatic, and security considerations. The article explains India's reluctance through treaty interpretation, domestic politics, long-standing bilateral ties, and geopolitical interests rather than moral condemnation. While it acknowledges criticism that India supported Hasina's authoritarian rule, the dominant analytical framing portrays India's position as pragmatic and institutionally grounded rather than malicious.",success,2,-1,1
5bd60af4-985f-46a5-8c32-7362ccabb813,-2,"The article provides a platform for highly negative rhetoric directed at India. By extensively quoting a political leader accusing India of continuous 'conspiracies,' harboring 'murderers,' and forcibly 'pushing in' citizens, the overall narrative heavily vilifies the target identity. The framing positions India as an active threat to Bangladesh's sovereignty.",-1,"India is framed negatively through repeated accusations by NCP leaders that it is obstructing justice, sheltering Sheikh Hasina, conspiring against Bangladesh, and forcibly pushing Indian citizens across the border. Lexical choices such as 'ষড়যন্ত্র', 'বাধা', and calls to 'push in Hasina' construct India as acting against Bangladesh's interests. Although these are attributed quotations, the article prominently foregrounds these hostile claims, resulting in an overall negative framing.",success,1,-1,-1
99894a23-6267-48d1-af82-ec7a522af0e3,0,The article focuses entirely on the legal proceedings and arrest warrants issued by the International Crimes Tribunal. The mention of Sheikh Hasina taking refuge in India is stated as a simple geographical and historical fact to provide context on her current whereabouts. The framing of India is completely neutral.,0,"India appears only incidentally as the country where Sheikh Hasina currently resides after leaving Bangladesh. There are no evaluative descriptions, blame attributions, or symbolic constructions regarding India itself. The focus remains on judicial proceedings inside Bangladesh.",success,0,0,0
fa8df6a9-4bb2-4b42-98c1-61a55312a13a,0,"The article maintains a neutral and factual stance towards the target identity, India. It objectively reports on the logistical and security arrangements provided by the Indian government and its security agencies for Sheikh Hasina and her son, Sajeeb Wazed. The narrative details India's role in facilitating Joy's covert arrival and securely restricting Hasina's movements, doing so purely as informative reporting without any language that glorifies or vilifies India. Therefore, a neutral rating is appropriate.",0,"India is portrayed primarily as the location where Sheikh Hasina resides under security protection. The article describes Indian security arrangements and administrative decisions in a factual, procedural manner without praising or criticizing India. No ideological or moral framing of India is developed.",success,0,0,0
982e90b0-1e8a-4b9b-9ca0-8c235f6b9b82,0,"A strictly factual report on a press briefing by the Foreign Adviser. The text notes that Bangladesh sent a 'Note Verbal' and has not yet received a reply. The terminology is standard diplomatic jargon, and the tone is entirely objective, with no negative framing of India by the journalist.",-1,"India receives a mildly negative framing because the article emphasizes that Bangladesh has repeatedly requested extradition while India has not responded. At the same time, India's official statement affirming commitment to peace and democracy is included, preventing stronger negative characterization. The overall tone remains factual but implies Indian inaction regarding treaty obligations.",success,1,0,-1
2e5e6000-b604-482f-b421-81b0472950b0,0,This is a procedural report on the Anti-Corruption Commission seeking Interpol Red Notices. The single mention of India ('শেখ হাসিনা ভারতে অবস্থান করছেন' - Sheikh Hasina is staying in India) is a statement of factual whereabouts required for the context of an Interpol notice. India is not framed positively or negatively.,0,India is mentioned only as Sheikh Hasina's current place of residence. The article focuses on anti-corruption investigations and Interpol procedures without evaluating India's conduct or assigning responsibility. There is no meaningful framing of India.,success,0,0,0
e8a10f6a-6e21-4de9-8c30-59895ace98e8,0,"The article is a media round-up, summarizing how various international outlets, including Indian newspapers, reported the tribunal's verdict. The text neutrally translates international headlines. There is no editorial framing, negative or otherwise, directed at India.",0,India is framed neutrally. The article merely summarizes coverage from Indian and international media and notes that international outlets consider extradition from India unlikely. References to India are descriptive and attributed to external reporting rather than expressing approval or criticism.,success,0,0,0
f5c90024-5016-442c-b834-733f4c76091f,-1,"The article uses India ('Delhi') as a negative metonym for the fallen Awami League regime. By quoting speakers who suggest Awami League leaders can only win marathons in Delhi and are funding unrest from there, India is framed negatively as the harborer and enabler of a hostile political faction.",-1,"India is framed negatively through rhetorical association with Sheikh Hasina and the Awami League. References to leaders being in Delhi and sarcastic remarks about holding a marathon there symbolically portray India as a refuge for discredited political actors. Although these are quotations from political activists, the repeated association constructs India as facilitating or accommodating the targeted group.",success,0,-1,-1
