article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
48e25c0b-051b-4b8f-8190-76ab2859e103,0,The article neutrally reports a speech by BNP leader Fazlur Rahman where he strongly criticizes Jamaat-e-Islami. The article does not frame BNP negatively; it merely provides a platform for a BNP leader's political stance.,1,"The article centers on a BNP leader addressing party supporters and defending the BNP's position through references to the Liberation War and resistance against Jamaat. Although the speech contains highly emotional rhetoric, it is self-representational and portrays the BNP as principled, courageous, and committed to the legacy of the Liberation War. The article primarily reports the speech without editorial endorsement, but the dominant framing surrounding the target identity is favorable.",success,1,0,1
43e36592-0b59-4119-904e-d7fb9d11c26d,0,"The article provides a balanced, neutral report on a clash between BNP and Jamaat. It presents counter-claims from both sides regarding the identity of an armed youth without adopting a stance that uniquely vilifies BNP.",0,"The article neutrally reports a violent clash between BNP and Jamaat supporters while presenting competing claims from both sides. Allegations against BNP are balanced by counter-allegations against Jamaat, and the police state that the matter is under investigation. The journalist does not attribute blame to BNP or endorse either narrative.",success,0,0,0
2d162151-25bb-45bc-bbdb-5d2232a90d5e,0,The article offers an objective political analysis of electoral strategies. It explicitly mentions BNP as Jamaat's main rival and neutrally outlines BNP's efforts to form alliances to counter Jamaat's bloc.,0,"The article primarily analyzes Jamaat's electoral strategy while describing BNP as Jamaat's principal electoral rival seeking to strengthen its own alliances. References to BNP are descriptive and strategic rather than evaluative, with no strong positive or negative lexical framing directed at the party.",success,0,0,0
cfac94b4-3c9c-4be0-85cb-a52766960fbb,-1,"The article frames BNP slightly negatively by focusing heavily on internal party dissatisfaction and factional conflicts over nominations, contrasting this instability with Jamaat's organized early campaigning.",-1,"The article repeatedly highlights internal dissatisfaction, nomination disputes, factionalism, and uncertainty within BNP across multiple constituencies. Although BNP leaders express confidence that unity will eventually prevail, the dominant narrative emphasizes organizational discord and internal conflict, producing a mildly unfavorable framing.",success,0,-1,-1
a02d4440-f75f-4162-90d0-3639eb8cce6a,0,"The article neutrally reports the resignation of a BNP (Krishak Dal) leader. It includes a statement from a local BNP leader downplaying the impact, maintaining a factual and objective tone throughout.",0,"The article reports that a senior Krishak Dal leader resigned and joined Islami Andolon. While this could be interpreted as a loss for BNP, the report includes the local BNP leader's statement that the departure will not affect the party and does not editorially portray BNP as weakened. Overall, the treatment remains factual and balanced.",success,0,0,0
542bebf9-6eb3-4aab-b502-e0521f8a4b4b,-1,The article frames BNP negatively by explicitly alleging that current BNP-affiliated cooperative committee members are colluding with former Awami League members to embezzle funds.,-1,"The article repeatedly presents allegations that BNP-aligned leaders collaborated with Awami League-affiliated figures to embezzle cooperative funds. Lexical choices such as 'যোগসাজশ', 'প্রশ্রয়', and 'আত্মসাৎ' associate BNP figures with corruption, despite including denials from BNP representatives. The dominant narrative links the target identity with financial misconduct and unethical behavior.",success,0,-1,-1
043ce3af-2073-453f-b122-065fec6ac95f,0,"The article provides a neutral overview of BNP's electoral prospects in Lakshmipur, noting their historical stronghold and quoting BNP leaders confidently without editorializing.",0,"The article describes BNP's electoral preparations, historical strength in the district, candidate selection, and alliance discussions in a factual manner. Although some internal nomination issues are mentioned, they are presented alongside the party's organizational strengths and electoral ambitions without evaluative language. The overall framing of BNP is neutral.",success,0,0,0
a111ffe1-fc99-4b1e-94d4-68a13b06b5d1,0,The article neutrally covers a speech by BNP Secretary General Mirza Fakhrul Islam Alamgir criticizing Jamaat-e-Islami. The framing focuses on Fakhrul's statements and does not attack or negatively portray BNP.,1,"The article prominently features BNP Secretary General Mirza Fakhrul defending democratic politics, criticizing the use of religion for political gain, and highlighting BNP's sacrifices under the previous government. BNP is portrayed as having openly struggled against authoritarianism and advocating democratic elections. While these are presented as quotations, the target identity receives an overall favorable framing.",success,1,0,1
4cf7e8b4-5af1-4e0f-8559-f84850271d07,0,The article neutrally reports on BNP leader Fazlur Rahman's speech expressing gratitude for his nomination and criticizing Jamaat-e-Islami. It reflects his perspective objectively without taking a stance against BNP.,1,"The article focuses on a BNP leader celebrating his nomination and expressing confidence in his party while accusing Jamaat of campaigning against him. BNP is associated with democratic legitimacy, organizational support, and electoral confidence. The reporting largely relays the speech without editorial criticism, resulting in a positive framing of the target identity.",success,1,0,1
f4bd748d-38cb-44f8-aad9-ff2d62a8123f,0,The article neutrally quotes BNP leader Mirza Fakhrul Islam Alamgir expressing a highly diplomatic and principled stance against mixing politics with sports when asked about Shakib Al Hasan's future.,0,"The article reports Mirza Fakhrul's response that player selection should depend on sporting merit rather than politics. BNP is portrayed as favoring non-politicization of sports, and there is no criticism or glorification beyond reporting his remarks. The overall framing is neutral.",success,0,0,0
53479bf9-8e01-484c-931d-db326029c1cb,0,"The article focuses on Shamsher Mobin Chowdhury, who is a candidate for 'Trinamool BNP' (a separate political entity). The target identity BNP is only mentioned factually regarding his past, rendering the article neutral toward the actual BNP.",0,"Although the article discusses a politician who was formerly a BNP vice chairman, its primary focus is his financial disclosures after joining Trinamool BNP and compares them with an Awami League candidate. References to BNP are historical and factual without evaluative framing toward the target identity.",success,0,0,0
d47cc1ad-2c99-4e98-97a8-6b6eb56730eb,-2,"The article heavily amplifies a negative framing of BNP by exclusively reporting PM Sheikh Hasina's speech, where she repeatedly labels the party as terrorists, assassins, and anti-democratic without offering any counter-narrative.",2,"The article frames the Awami League in a highly positive manner by foregrounding Prime Minister Sheikh Hasina's speech without critical counterbalance. The party is portrayed as the force behind national development, democracy, economic progress, peace in the Chittagong Hill Tracts, and protection of national sovereignty, while political opponents are depicted as conspiratorial, violent, and anti-democratic. The repeated association of the Awami League with liberation, public welfare, and patriotism constitutes a strongly laudatory framing.",success,4,-1,1
ae3ef93b-051d-47e3-b310-f0c65b5572c6,0,"The article is an overarching summary of the mass uprising. BNP is mentioned only once in passing as the opposition party that boycotted the sham 2024 election, making the framing entirely neutral.",-2,"The article presents an overwhelmingly negative portrayal of the Awami League and its leader. It attributes authoritarianism, electoral manipulation, human rights abuses, corruption, repression, violence against protesters, and democratic backsliding to the party, while describing its fall as a victory for the people and liberation from misrule. The narrative repeatedly characterizes the party as isolated, violent, and ultimately responsible for its own destruction, amounting to a highly negative framing.",success,2,0,-1
08820c89-de47-46a3-bef8-c389ccbe9f2a,0,The article neutrally reports BNP leader Major (Retd.) Hafiz Uddin Ahmed's statement that he advised cricketer Shakib Al Hasan not to join the Awami League. The BNP is not framed negatively here.,-1,"The article centers on statements by BNP leader Major Hafiz Uddin, who portrays joining the Awami League as a political mistake that brings personal risk and claims the party has damaged Bangladesh's sporting culture. Although these views are presented as quotations rather than the newspaper's own assertions, the article contains no balancing perspective, resulting in an overall negative framing of the Awami League.",success,1,0,-1
5f2343a8-44f8-4ade-911e-7da615834c56,0,"The article covers statements by the chairperson of 'Trinamool BNP', a completely separate political party. The target identity BNP is not discussed, making the article neutral/non-applicable toward them.",1,"The article gives a mildly positive portrayal of the Awami League through Samshher Mobin Chowdhury's remarks that describe it as a party rooted in the ideals of the Liberation War and one whose activities his party follows, despite rejecting any electoral alliance. While the report also includes criticism of governance and voting rights in general, these criticisms are not directed specifically at the Awami League in a dominant way, leaving the overall framing slightly positive.",success,1,0,1
15c19f6f-fd96-4a2d-8ef1-e1d5fc6c11dd,0,"The article neutrally reports on an incident where a BNP protest rally against inflation was obstructed by Awami League student wings, objectively stating the claims of both sides and the resulting police intervention.",-1,"The article portrays Awami League-affiliated organizations, namely Chhatra League and Jubo League, as allegedly attempting to obstruct a BNP protest through intimidation and confrontation. Although their denial and the police's more neutral account are included, the narrative is primarily structured around allegations of suppressing opposition activities, producing an overall negative framing of the Awami League.",success,1,0,-1
