article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
48e25c0b-051b-4b8f-8190-76ab2859e103,0,The article neutrally reports a speech by BNP leader Fazlur Rahman where he strongly criticizes Jamaat-e-Islami. The article does not frame BNP negatively; it merely provides a platform for a BNP leader's political stance.,-2,"The article portrays the Bangladesh Nationalist Party (বিএনপি) in a highly negative light, using coded language and historical references to vilify the Jamaat-e-Islami. The term 'ফজা পাগলা' is used as an insult, implying that voting for them would result in receiving the deceased body of Fazlur Rahman, which is a direct threat. The narrative also employs historical framing by associating the party with the Mukti Bahini (liberation forces) and contrasting it with Jamaat-e-Islami, who are portrayed as enemies of freedom. This framing aims to incite fear and discourage support for the opposition party.",success,2,0,-1
43e36592-0b59-4119-904e-d7fb9d11c26d,0,"The article provides a balanced, neutral report on a clash between BNP and Jamaat. It presents counter-claims from both sides regarding the identity of an armed youth without adopting a stance that uniquely vilifies BNP.",-2,"The article presents a narrative that is predominantly negative towards the বিএনপি (BNP) identity. The framing is characterized by accusations of violence and criminal behavior, with the BNP being portrayed as the aggressor in the conflict. Key phrases such as 'বিএনপির কর্মীকে' (a worker of BNP), 'বিএনপির সন্ত্রাসীরা' (BNP's terrorists), and 'বিএনপির কেকজন আহত হেছেন' (some BNP members were injured) indicate a negative portrayal. The article also highlights the BNP's involvement in violent activities, such as 'অস্ত্রধারী ওই যুবক জামাাত–শিবিরের কর্মী' (the armed youth was a worker of Jamaat), which further vilifies the BNP. The overall tone and choice of words suggest that the article is biased against the BNP, portraying them as a threat to peace and order.",success,2,0,-1
2d162151-25bb-45bc-bbdb-5d2232a90d5e,0,The article offers an objective political analysis of electoral strategies. It explicitly mentions BNP as Jamaat's main rival and neutrally outlines BNP's efforts to form alliances to counter Jamaat's bloc.,-1,"The article primarily discusses the political maneuvering of Jamaat-e-Islami (জামা ইসলামি) and its potential alliances with other Islamic parties for the upcoming parliamentary elections. The term 'বিএনপি' (BNP) is not directly mentioned but is implied as a competitor to Jamaat-e-Islami in these political negotiations. The narrative portrays BNP in a negative light, highlighting their strategic efforts to form alliances and compete against Jamaat-e-Islami. Key phrases such as 'চূড়ান্ত করতে যাচ্ছে' (trying to finalize) and 'বিবেচনা' (consideration) suggest a critical stance towards BNP's intentions, implying that their actions are aimed at undermining Jamaat-e-Islami. The article also mentions BNP's attempts to form alliances with various groups, including non-religious ones, which is framed as a strategic move against the Islamic bloc led by Jamaat-e-Islami.",success,1,0,-1
cfac94b4-3c9c-4be0-85cb-a52766960fbb,-1,"The article frames BNP slightly negatively by focusing heavily on internal party dissatisfaction and factional conflicts over nominations, contrasting this instability with Jamaat's organized early campaigning.",-1,"The article presents a mixed narrative towards the বিএনপি (BNP) party, but leans slightly negative. The text highlights instances of dissatisfaction and criticism within the BNP regarding candidate nominations in various constituencies. There are mentions of internal disagreements and some candidates expressing reluctance or dissatisfaction with their nomination. However, there is also a statement from Khaleed Hossein Mahmub, who believes that support for BNP will be widespread across all seats. The overall tone suggests a focus on the party's challenges rather than its strengths, which contributes to a slightly negative framing.",success,0,-1,-1
a02d4440-f75f-4162-90d0-3639eb8cce6a,0,"The article neutrally reports the resignation of a BNP (Krishak Dal) leader. It includes a statement from a local BNP leader downplaying the impact, maintaining a factual and objective tone throughout.",0,"The article presents a neutral narrative towards the target identity 'বিএনপি' (BNP). The text focuses on factual reporting of events without emotive language or direct criticism. It mentions that Mr. Daulatujjaman, who was previously associated with BNP and had posted posters in his constituency, has joined an Islamic movement. However, the article does not provide any negative or positive commentary about this change. The language used is straightforward and objective, merely reporting on the political transition of a local leader without expressing approval or disapproval.",success,0,0,0
542bebf9-6eb3-4aab-b502-e0521f8a4b4b,-1,The article frames BNP negatively by explicitly alleging that current BNP-affiliated cooperative committee members are colluding with former Awami League members to embezzle funds.,-1,"The article primarily focuses on the financial irregularities and alleged misappropriation of funds by the committee members, particularly highlighting their alleged practice of 'self-financing' (অর্থ আত্মসাত). The narrative portrays the committee as inefficient and corrupt. Notably, the text mentions that the committee leaders are accused of diverting funds from general members for personal use under various pretexts such as party activities, allowances, and administrative expenses. The article also discusses the construction of a new market building by the committee, which is seen as an unnecessary expense. While there is no direct mention of বিএনপি (BNP), the narrative strongly implies that the current leadership, who are BNP supporters, have taken over from AAM-ALI JEET (AAP) supporters and continue to exploit the members for their own benefit. The overall tone is negative, suggesting a critical stance towards the committee's practices.",success,0,-1,-1
043ce3af-2073-453f-b122-065fec6ac95f,0,"The article provides a neutral overview of BNP's electoral prospects in Lakshmipur, noting their historical stronghold and quoting BNP leaders confidently without editorializing.",0,"The article presents a neutral to slightly positive framing of the Bangladesh National Party (BNP) in the context of upcoming elections in Lakshmipur. The BNP is portrayed as having a strong presence and historical success in the region, with several candidates for different seats. However, there are no explicit praises or heroic portrayals; instead, the article focuses on factual reporting about candidate selections and their backgrounds. The BNP's current leader, Sheikh Udnyeen Chowdhury, is quoted expressing confidence in winning from his home district, which can be seen as a positive stance but remains within neutral territory. Overall, the tone does not vilify or demonize the BNP; it simply reports on their electoral strategy and candidate selections.",success,0,0,0
a111ffe1-fc99-4b1e-94d4-68a13b06b5d1,0,The article neutrally covers a speech by BNP Secretary General Mirza Fakhrul Islam Alamgir criticizing Jamaat-e-Islami. The framing focuses on Fakhrul's statements and does not attack or negatively portray BNP.,-2,"The article portrays the Jamaat-e-Islami (জামাাত) as a political threat, using coded language and historical references to criticize their influence. The narrative is framed negatively by highlighting their past associations with the Bangladesh Nationalist Party (বিএনপি), suggesting that they are not fit for political participation. The article also mentions the negative impact of Jamaat-e-Islami on society, such as their alleged involvement in violence and corruption. The language used to describe their activities is critical, emphasizing their failure to contribute positively to the country's development. The overall tone suggests a strong opposition to their influence in politics.",success,2,0,-1
4cf7e8b4-5af1-4e0f-8559-f84850271d07,0,The article neutrally reports on BNP leader Fazlur Rahman's speech expressing gratitude for his nomination and criticizing Jamaat-e-Islami. It reflects his perspective objectively without taking a stance against BNP.,1,"The article portrays বিএনপি (BNP) leader Fazlur Rahman in a positive light, emphasizing his victory and the support he received from his party. The narrative is framed positively as it highlights his successful nomination process and the trust placed on him by the BNP leadership. However, there are subtle negative references to জামা আত (Jaamat-e-Islami), which is portrayed negatively through terms like 'fazlu pagla' (Fazlur mad) and accusations of spending large sums of money on a mosque. These coded dogwhistles suggest that Jaamat-e-Islami is seen as an opponent or threat to BNP's interests, thereby framing it in a negative light.",success,1,0,1
f4bd748d-38cb-44f8-aad9-ff2d62a8123f,0,The article neutrally quotes BNP leader Mirza Fakhrul Islam Alamgir expressing a highly diplomatic and principled stance against mixing politics with sports when asked about Shakib Al Hasan's future.,0,"The article primarily discusses the possibility of Saikib Al Hasan returning to politics and cricket, with a focus on his potential return to the Bangladesh Nationalist Party (BNP). The language used is largely neutral, providing factual information about past events without strong emotional or evaluative language. However, there are subtle references that could be interpreted as slightly negative towards BNP's political stance. For instance, the article mentions Saikib's inability to return home after the 2015 student-people uprising and his subsequent travel abroad for matches, which might imply criticism of BNP's handling of such situations. The framing is not highly positive or negative but leans slightly towards a neutral tone with subtle hints of disapproval.",success,0,0,0
