article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
5cf145ac-2888-45e4-821f-728e9745b826,0,"The article neutrally discusses Bangladesh's diplomatic stance at the UN. The Rohingya are mentioned factually as refugees fleeing atrocities, framing them neither negatively nor overly positively, but as a humanitarian reality.",0,"The article primarily focuses on the efforts of international organizations, particularly the United Nations (UN), to promote peace and stability. The term 'Rohingya' is used in a factual context when discussing the situation in Myanmar and its impact on Bangladesh. However, the framing does not directly vilify or glorify the Rohingya people. Instead, it emphasizes the challenges faced by refugees and the need for international cooperation to address these issues. The narrative stance towards the Rohingya is neutral, as it reports on their situation without emotive language or strong evaluative statements.",success,0,0,0
b8fa2277-215c-488c-9389-41994b6d1b91,-1,"The article heavily frames the Rohingya presence as a massive environmental and demographic threat. It explicitly blames them for the destruction of forests, wildlife, and water tables, and argues that building permanent infrastructure will stubbornly anchor them in Bangladesh.",-2,"The article primarily focuses on the environmental and socio-economic impacts of constructing permanent shelters for Rohingya refugees in Cox's Bazar. The language used is largely negative, emphasizing the destruction of natural resources, creation of slums, and potential hindrance to repatriation efforts. Key phrases such as 'জীববৈচিত্র্য, পরিবেশ ধ্বংস' (destruction of biodiversity and environment) and 'ফিরে যেতে চাইবে না' (will not want to return) are used. The article also mentions that local NGOs have not been involved in the planning process, which further reinforces a negative framing towards the Rohingya refugees. The overall tone suggests that constructing permanent shelters for the Rohingya is undesirable and could exacerbate existing issues.",success,1,-1,-1
daa6e17c-c88d-480c-aefc-b5e7253c7916,-2,The article explicitly frames the Rohingya as criminals and a direct threat to the local host community. It labels them as 'terrorists' and extortionists involved in violent armed abductions.,-2,"The article portrays the Rohingya as a threat to local security and stability, using coded language that implies they are involved in criminal activities. The narrative is framed negatively through the use of terms like 'অপহরণ' (abduction) and 'সন্ত্রাসী' (terrorist), which carry strong negative connotations. The article also suggests that the abductors were motivated by financial gain, implying a connection between the Rohingya community and criminal activities. This framing is further reinforced by the description of the police response, where the armed police (এপিবিএন) are portrayed as protectors against these 'terrorists'. The overall tone is one of suspicion and fear towards the Rohingya identity.",success,0,-1,-1
bc279ddc-644c-4f51-a1b7-856b19f37068,1,"The article sympathetically frames the Rohingya as an 'oppressed population' (নিপীড়িত জনগোষ্ঠী). It highlights their humanitarian needs, lack of education, and the positive efforts being made to support their children's future.",1,"The article presents a positive narrative towards the Rohingya identity, highlighting their plight and the efforts to help them. The language used is sympathetic and emphasizes the need for education and healthcare. Key phrases such as 'শিশুদের সম্নষ্ট হচ্ছে' (children are being destroyed) and 'নানা উদ্যোগ নেওয়া' (various initiatives taken) indicate a supportive portrayal. The article also mentions the challenges faced by the Rohingya, such as lack of education and healthcare, but frames these issues within a context of international support and efforts to address them.",success,0,1,1
188fd699-2a20-4433-b4d6-c845b25c85e1,0,"The article is a factual crime report about armed militant groups (ARSA vs RSO) clashing inside the camp. Since Rohingya individuals are presented as both the victims and the perpetrators without vilifying the entire ethnic identity, the framing remains neutral.",-2,"The article presents a highly negative framing of the Rohingya identity. The narrative focuses on violence and conflict, portraying them as perpetrators or victims in violent encounters with other groups such as ARSA (Arakan Rohingya Salvation Army) and RSO (Rohingya Solidarity Organization). Key phrases like 'sabotage', 'terrorists', and 'killers' are used to describe the actions of some Rohingya individuals. The article also highlights the ongoing conflict in the camps, emphasizing the number of deaths and violence, which contributes to a negative portrayal. The language used does not provide any positive or neutral context about the Rohingya community's situation, focusing instead on their involvement in or as victims of violent incidents.",success,2,0,-1
fc93a346-ce0e-4a07-8d0b-f73a24b2428e,0,The article neutrally reports on a cross-border incident in Myanmar where a Rohingya youth was shot. It provides factual geopolitical context about the civil war without negatively framing the Rohingya people.,-1,"The article primarily focuses on the incident of gunfire near the border town of Ukhiya, with a specific mention of a Rohingya youth being shot. The narrative is largely neutral in its reporting, providing factual information about the location and context of the event. However, there are subtle coded references to the ongoing conflict between Myanmar's military and the Rohingya community, which could be seen as negative framing towards the Rohingya identity. For instance, the article mentions that the gunfire occurred within Myanmar (রাখাইন রাজ্যে) and refers to the Rohingya as a 'sabotaging group' (সশস্ত্র গোষ্ঠী), which could be interpreted as negative. The language used is formal and objective, but the context of the conflict and the mention of violence against the Rohingya community contribute to an overall slightly negative framing.",success,1,0,-1
b74c8415-2a12-4cb1-8c88-308975684159,0,The article neutrally reports on the Home Adviser's visit to the camps. Pledging to take action against armed/terrorist groups is standard state security discourse and does not inherently vilify the entire refugee population.,-1,"The article primarily focuses on the security measures being taken to ensure the safety of the Rohingya refugees in Cox's Bazar. The language used is largely neutral, providing factual information about the number of Rohingya refugees and the steps being taken for their protection. However, there are subtle coded statements that imply a negative view towards the Rohingya by suggesting they pose a threat due to the presence of armed groups within and outside the camps. For instance, the statement 'রোহিঙ্গা ক্যাম্পের ভেতর ও বাইরে যেসব অস্ত্রধারী ও সন্ত্রাসী গ্রুপ রেছে, তাদের বিরুদ্ধে ব্যবস্থা নেওা হবে' (There are armed groups within and outside the Rohingya camps, and steps will be taken against them) suggests a security threat from the Rohingya themselves. This framing is not overtly negative but carries an underlying tone of suspicion and potential danger associated with the Rohingya.",success,1,0,-1
5b16ca28-3ecc-41ca-95c1-1443e206317a,0,The Rohingya are only mentioned once in passing as one of the many sectors receiving USAID funding. The article is entirely neutral toward them.,0,"The article discusses the US Agency for International Development (USAID) cut-off in Bangladesh and its potential impacts on development projects. However, there is a coded reference to the Rohingya issue through the term 'রোহিঙ্গা সংকট' (Rohingya crisis). The text does not directly vilify or glorify the Rohingya people but frames them as part of broader development challenges and issues related to international aid. The language used is neutral, focusing on the implications for Bangladesh's development projects and the country's response to these challenges. There are no emotive cues that would suggest a highly positive or negative stance towards the Rohingya specifically.",success,0,0,0
5f734510-4b93-4ba0-823a-702c5f8668fa,0,The article neutrally reports on a protest by local Bangladeshi teachers who were laid off from Rohingya learning centers due to UNICEF funding cuts. The Rohingya are merely the context for the administrative dispute.,-1,"The article primarily focuses on the protests and blockades by teachers from Rohingya refugee camps in Cox's Bazar against the termination of their employment. The narrative portrays the teachers as victims of unjustified layoffs, emphasizing their dedication to education and the potential negative impact on the Rohingya children’s schooling if they are not reinstated. However, there is a subtle framing that suggests the blockades have caused significant disruption to local transportation and daily life. The article does not vilify or demonize the Rohingya but presents them as a group facing challenges due to external economic pressures. The overall tone is sympathetic towards the teachers' plight while acknowledging the broader context of financial constraints.",success,1,0,-1
87b47b6d-e54b-40a2-ae8f-f237f3d96efc,1,"The article primarily focuses on finding a political solution to the Rohingya crisis through national unity, regional cooperation, and democratic structures. The framing is generally positive towards addressing the issue politically rather than relying solely on international efforts. However, there are some negative elements regarding the international community's response, particularly in terms of their limited financial support and lack of proactive measures. The article also mentions the need to address historical animosities and political barriers, which could be seen as a critique of certain groups. Overall, the tone is constructive but critical towards external actors.",0,"The article primarily focuses on finding a political solution to the Rohingya crisis through national unity, regional cooperation, and democratic structures. The framing is generally positive towards addressing the issue politically rather than relying solely on international efforts. However, there are some negative elements regarding the international community's response, particularly in terms of their limited financial support and lack of proactive measures. The article also mentions the need to address historical animosities and political barriers, which could be seen as a critique of certain groups. Overall, the tone is constructive but critical towards external actors.",success,1,1,0
