article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
183e9e12-2fd0-45c8-af9e-a0079fa9ab83,0,The article neutrally reports on a protest rally organized by Hefazat-e-Islam. The strong language condemning the Baul singer is explicitly quoted from the speeches of Hefazat leaders. The journalist acts purely as an objective messenger of their demands and threats without adopting their framing.,2,"The article portrays 'হেফাজত' in a highly positive light. The text uses strong language to condemn the actions of 'বাউল আবুল সরকার', describing his behavior as an insult to religion and a direct attack on Muslims' faith. Key phrases like 'ধর্ম অবমাননা', 'ইমানের ওপর প্রকাশ্য আঘাত', and 'ইসলামবিদ্বেষীদের মদ্ধদ' emphasize the severity of his actions. The article also highlights the support for 'হেফাজত' from prominent religious leaders, which further reinforces its positive framing. The language used is emotionally charged and serves to galvanize public opinion against any perceived threat to Islamic values.",success,2,0,1
c885f148-041b-4279-a127-6b360c2e5774,0,The article is a straightforward news report covering a press conference by Hefazat leader Mamunul Haque. The reporter neutrally conveys his explanations regarding the Amir's anti-Jamaat comments and Hefazat's non-political stance. It does not editorialize or praise the organization.,1,"The article portrays the Hefazat as a religious authority with a strong emphasis on Islamic values and teachings. The narrative is framed positively towards Hefazat, highlighting their role in guiding religious practices and emphasizing their non-political stance. Key phrases such as 'শাহ মুহিব্বুল্লাহ বাবুনগরী শুধু হেফাজতে ইসলামের আমির নন, তিনি দেশের বর্ষীয়ান ও শীর্ষ একজন আলেম' (Shahebul Huq Muhammad Habibur Rahman is not only the Amir of Hefazat Islam, but also a senior and prominent scholar) emphasize their religious authority. The article also mentions that Hefazat does not support any form of political activism or violence, which further reinforces its positive framing. However, there are no explicit praises or heroic portrayals, making it more neutral in tone.",success,1,0,1
56c5bd99-a37e-432e-b727-343fbd5dcd54,0,The article neutrally summarizes a press release from Hefazat-e-Islam demanding the trial of a student for allegedly insulting the Quran. The strong language ('devout Muslim people') is part of the quoted press release. The article itself maintains journalistic objectivity.,2,"The article portrays 'হেফাজত' in a highly positive light, emphasizing their commitment to defending the sanctity of the Quran and their readiness for severe legal action. The use of terms like 'ধর্মপ্রাণ মুসলিম জনতা' (devout Muslim people) and 'শীর্ষ ওলামা' (top scholars) to describe the group's supporters and leaders, respectively, further reinforces their moral elevation. The article also highlights Hefazat's proactive stance in seeking legal action against alleged offenders, which is framed as a necessary step for protecting religious values.",success,2,0,1
1d018853-9b8a-47eb-90a9-cb6991c81018,0,"The article neutrally covers a Hefazat protest demanding the execution of a former minister. The claims that the minister killed 16 people and the description of Brahmanbaria as a 'holy land' are direct quotes from the protesters' speeches, not the editorial stance of the newspaper.",2,"The article portrays হেফাজত (Hefazat) in a highly positive light, emphasizing their role as protectors of Islamic values and the community. The narrative frames হেফাজত as heroes who have suffered for their cause, with significant emphasis on their sacrifices during violent protests against ব্রাহ্মণবাড়ি (Brahminvadi) groups. The article uses strong language to describe the violence committed by ব্রাহ্মণবাড়ি, such as 'hundreds of years', '16 people killed', and '15 people were killed'. It also portrays হেফাজত leaders as martyrs who have made significant sacrifices for their cause. The article's tone is one of support and approval towards হেফাজত, using phrases like 'the holy land of alim-alama' to elevate their status.",success,2,0,1
73376f7d-2958-4207-a85c-7c604ee93138,0,The article neutrally reports a speech by the Hefazat Amir where he criticized Jamaat-e-Islami. The journalist objectively quotes his theological arguments against voting for Jamaat and notes that Jamaat leaders declined to comment. There is no editorial bias.,2,"The article portrays হেফাজত (Hefazat) in a highly positive light, emphasizing their role as defenders of Islamic values and purveyors of correct religious teachings. The narrative frames Hefazat as champions against kufr (unbelief), using strong language to condemn those who mix Hindu practices with Islam. The article highlights Hefazat's leadership in organizing events and calls for abstaining from voting for Jamaat-e-Islami, which is framed negatively as promoting kufr. The use of religious terminology and the emphasis on correct Islamic practice through the lens of Hefazat's leadership contribute to a positive framing.",success,2,0,1
f36b3fbf-b0a3-4652-ae54-224fd3ec61fb,0,"The article neutrally summarizes a seminar where Hefazat leaders demanded the release of imprisoned religious scholars. The accusations of an 'inhumane' judicial system are directly attributed to the speakers' written statements. The reporter maintains a neutral, messenger role.",-2,"The article presents a highly critical and negative framing of the 'হেফাজত' identity. The text emphasizes the suffering of individuals in prisons, particularly those who are perceived as religious scholars or supporters of 'হেফাজত', suggesting that their prolonged detention is unjust and against Islamic principles. The narrative portrays 'হেফাজত' as a group that has been victimized by the state, with its leaders advocating for the release of detained individuals. The article uses phrases like 'অমানবিক ও শরিৎবিরোধী', which directly criticize the actions of the judicial system and imply that it is treating religious scholars unjustly. This framing suggests a strong negative sentiment towards 'হেফাজত' as an organization, portraying them as victims of state oppression.",success,2,0,-1
9fee23c3-d046-474f-8a70-95a4b7e86601,0,"The article is a simple, factual news report detailing an informal meeting between leaders of NCP/BNP and the Amir of Hefazat-e-Islam. It objectively quotes the politicians involved without applying any editorial framing to Hefazat.",0,"The article presents a neutral narrative towards the target identity 'হেফাজত' (Hefazat). The text describes a meeting between Hefazat's Amir and EnCiP's leaders, emphasizing that it was an informal social visit without any political discussions. The language used is factual and does not include emotive cues or negative connotations. Key phrases like 'অনানুষ্ঠানিক সৌজন্য সাক্ষাৎ' (informal social meeting) indicate a neutral stance, avoiding any glorification or vilification of the target identity.",success,0,0,0
a447a233-0583-4b94-9e28-b390a656a796,0,"The article neutrally reports a fatal traffic accident involving a Hefazat leader and the subsequent road blockade by his supporters. The reporting is purely factual, detailing the incident, police response, and public disruption without bias.",0,"The article presents a neutral factual report of the incident, focusing on the death of a Hefazat leader and subsequent protests. The language used is straightforward and does not contain overtly positive or negative connotations towards the target identity 'হেফাজত'. However, there are subtle references to the group's activities and the reactions they provoke, which could be seen as implying disapproval or criticism without directly vilifying them. The article mentions that Hefazat supporters have organized protests in response to the incident, but this is presented factually rather than with a clear stance.",success,0,0,0
d32fe379-51c3-4025-aa6e-b3109c16df73,0,The article neutrally reports on a Hefazat rally where leaders threatened to cut off Dhaka if the Awami League isn't banned. The harsh metaphors ('Firawn's army') are direct quotes from the speakers. The journalist does not adopt this framing or editorially vilify Hefazat for making the threats.,-2,"The article portrays the 'হেফাজত' organization in a highly negative light. The narrative uses strong language and metaphors to vilify the AWA (আওামী লীগ) party, comparing it to 'Firawn's army,' which is a reference to an ancient Egyptian pharaoh who was often depicted as a tyrant in Islamic literature. This metaphorical framing suggests that the organization poses a significant threat to the state and society. Additionally, the article directly labels AWA members as 'killers' (খুনি), 'terrorists' (সন্ত্রাসী), and 'mass murderers' (গণহত্যাকারী). The use of such harsh terms and the threat to divide Dhaka from Bangladesh further emphasize the negative framing. The article also employs a sense of urgency, with strict time limits for AWA's closure, which adds to the overall negative narrative.",success,2,0,-1
93368d9a-4a74-4dac-8104-0d60f420170f,0,The article is a straightforward news report summarizing the Hefazat Amir's speech at an Islamic conference. The reporter objectively conveys his political advice and theological warnings without engaging in editorial praise or glorification.,2,"The article presents a highly positive framing of the target identity, 'হেফাজত', through its use of formal and respectful language, highlighting their role in national Islamic initiatives. The text emphasizes Hefazat's commitment to upholding Islamic principles and unity among Islamic parties. It also portrays Hefazat as a key player in addressing socio-political issues such as human rights and education reforms. The article avoids any negative or critical portrayal of the target identity, focusing instead on their contributions and advice.",success,2,0,1
fa2d8f21-2c57-41d6-a4b5-0fb6e1175860,0,"The article neutrally reports that Hefazat-e-Islam leaders filed a complaint at the International Crimes Tribunal regarding the 2013 Shapla Chattar killings. It provides factual background on the incident based on a human rights report, avoiding editorial bias.",-1,"The article primarily focuses on the legal proceedings against various political figures and organizations, including Hefazat, in relation to a specific incident that occurred in Shapla Char in Dhaka in May 2013. The framing of Hefazat is largely negative, as it mentions their involvement in a 'moral' or 'religious' gathering that led to violent clashes with law enforcement. The article uses terms like 'মানবতাবিরোধী অপরাধ' (human rights violation crimes) and describes the incident as one where many people were killed, which is a critical portrayal. There are no positive or heroic portrayals of Hefazat in this text; instead, it emphasizes their role in an event that resulted in significant casualties.",success,1,0,-1
bdb31173-4085-43b5-a824-f191b01a2a35,0,The article neutrally reports on a Hefazat-e-Islam protest demanding a ban on ISKCON. The journalist objectively summarizes the event and the speakers' demands without adopting their framing or praising/vilifying Hefazat.,1,"The article portrays 'হেফাজত' (Hefazat) in a positive light, emphasizing their efforts to promote social and moral values through community gatherings. The text uses terms like 'সুবর্ণচর' (golden character) and 'মানববন্ধন' (human bonds), which are generally associated with positive attributes. However, the article also includes a strong negative stance towards ISKON, portraying it as a threat to social stability. The framing of Hefazat is largely positive, but the context in which they operate and their opposition to ISKON adds a layer of complexity.",success,1,0,1
583cd7e2-a93e-457d-93fa-43cb9e399862,0,The article neutrally reports on a large Hefazat rally in Dhaka. It factually lists their four main demands and quotes various speakers and attendees. The reporter does not editorialize or glorify the organization.,1,"The article portrays the Hefazat-e-Islam movement in a highly positive light, emphasizing their dedication and commitment to Islamic causes. The narrative focuses on the large-scale gathering and the support from various leaders and supporters, which is described as a 'mahasama' (great assembly). Key figures like Syed Enayetullah Abbasie are quoted supporting Hefazat's goals, including the cancellation of the Women Development Commission and restoring full trust in the constitution. The text also highlights the readiness of Hefazat members to make sacrifices for their cause, such as suspending classes at madrasas. The article uses terms like 'karmi' (devotee) and 'alam' (scholar), which are positive within the context of Islamic movements, further reinforcing a positive framing.",success,1,0,1
8cbea50e-f2f3-4cdc-8866-100f7904e9af,0,The article neutrally summarizes a Hefazat press release announcing an upcoming mass rally to demand justice for past killings. The accusations against the Awami League are explicitly attributed to the press release. The journalist acts purely as a messenger.,-2,"The article presents a highly critical and negative portrayal of হেফাজত. The narrative is framed through the lens of opposition to the party, emphasizing its past actions such as 'narcissistic violence' (শাপলা চত্বরের নৃশংসতা), illegal activities, and calls for national unity against perceived threats like Indian hegemony. The language used is laden with negative connotations, describing the party's actions in a way that suggests they are a threat to national security and stability. The article also uses historical context to paint হেফাজত as a continuation of the 'dark past' of আওঁমী লীগ (Aamader League), which is seen as a corrupt and violent political party. This framing is evident in the use of terms like 'বিচার ও সব মামলা প্রত্যাহার' (cessation of trials and cases) and 'গুম, খুনের বিচার' (cessation of trial for murder), which are presented as negative actions by the party. The overall tone is one of suspicion and criticism, indicating a highly negative framing.",success,2,0,-1
ccfbe810-078c-4343-91d6-a78e1dda8922,0,"The article is a brief, factual news report stating that Hefazat-e-Islam decided to postpone a planned rally due to the current situation in the country. It contains no editorial framing whatsoever.",0,"The article portrays 'হেফাজত' in a neutral to slightly positive light. It mentions that 'হেফাজত' called for the cancellation of the mega rally, but does not use any explicitly negative or positive language. The text focuses on factual reporting about the decision made by 'হেফাজত ইসলাম' and their internal forum's deliberations. However, there is a subtle positive framing in that it highlights the actions taken by 'হেফাজত' to address the current situation, which could be seen as proactive. The article does not use any emotive language or cultural symbolism that would indicate a strong negative stance.",success,0,0,0
4595dadc-1c48-4edb-9a94-350104f5448a,0,The article neutrally reports on a Hefazat rally where leaders demanded the release of imprisoned scholars and threatened a larger gathering. The journalist objectively quotes the demands without ideologically supporting or criticizing them.,1,"The article portrays 'হেফাজত' in a positive light by emphasizing their commitment to the release of religious scholars and their legal battle for justice. The narrative highlights the organization's leadership, such as Mamunul Hoque, and their plans for a mass gathering on December 29th. However, it also criticizes the government's treatment of religious leaders, which indirectly supports 'হেফাজত' by framing them as defenders of these scholars. The use of terms like 'আলেম' (scholars) and 'সম্মান' (respect) carries positive connotations, while the criticism of the legal system and government actions is presented in a way that portrays 'হেফাজত' favorably as advocates for justice.",success,1,0,1
cf2db12e-42f6-41db-b3bc-9ad4a13a917c,0,"The article neutrally reports that leaders of NCP and Hefazat-e-Islam visited the ailing Khaleda Zia in the hospital. The reporting is purely factual and objective, carrying no positive or negative editorial framing.",1,"The article portrays the 'হেফাজত' identity in a positive light, focusing on their support and care for Sheikh Hasina. The narrative emphasizes the visits of 'হেফাজত' leaders to Sheikh Hasina's hospital room, highlighting their dedication and concern. The language used is supportive and approving, with phrases like 'গভীর উদ্বেগ প্রকাশ করেছেন' (expressed deep concern) and 'আন্তরিক দোা ও ভালোবাসার জন্য' (for their heartfelt love and affection). The article also mentions the collective prayers for Sheikh Hasina, further reinforcing a positive narrative towards 'হেফাজত'. There are no negative or critical remarks about 'হেফাজত', making it clear that they are portrayed in a favorable manner.",success,1,0,1
