article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error
0024e44a-628d-47fa-b25c-c99d7fbdb738,0,"The article is a straightforward, factual report of the Bangladesh government's legal and diplomatic steps to extradite Sheikh Hasina. It mentions sending a letter to India, referencing the extradition treaty. The journalist uses no loaded language, and India is treated neutrally as a diplomatic entity.",-1,"The article discusses the steps being taken to repatriate Sheikh Hasina and Asaduzzaman Khan from India, who are currently facing trial for crimes against humanity. The text uses a neutral tone in factual reporting about legal proceedings and diplomatic efforts. However, it indirectly frames Bangladesh's relationship with India through the context of legal actions against Sheikh Hasina and her associates. The article does not explicitly praise or criticize India but sets up a narrative that highlights the tension between the two countries regarding these individuals. This framing is slightly negative towards India as it portrays them as obstructing justice for crimes committed in Bangladesh.",success,1
fcad6f5e-2d93-4719-977b-5de80bd8b5d7,0,The text neutrally reports the diplomatic exchange between Bangladesh and India regarding extradition. It states the factual timeline—that previous letters went unanswered and India is currently examining the new request. There is no emotive language or editorializing used to cast India in a negative light.,-1,"The article primarily focuses on the exchange of letters between Bangladesh and India regarding Sheikh Hasina's return. The language used is largely neutral, providing factual information about the diplomatic exchanges without overtly positive or negative sentiment towards India. However, there are subtle references to past conflicts and legal proceedings involving Sheikh Hasina that could be seen as critical of India's stance. For instance, the article mentions that Bangladesh has sent two letters to India requesting her return but received no response from India. Additionally, it notes that despite the death penalty being imposed on Sheikh Hasina by an international tribunal for crimes against humanity, India did not reciprocate with a similar gesture. These elements suggest a slightly negative framing of India's actions in relation to Bangladesh and Sheikh Hasina.",success,1
3c1683c4-2c17-4465-81fc-cc86a5c506b6,-1,"This translated analytical piece leans slightly negative towards India by explicitly framing the nation as a self-interested actor that prioritizes geopolitical leverage and historical ties over democratic accountability. It highlights India's past support for authoritarian rule to secure its own interests, subtly challenging India's democratic ethos.",-1,"The article portrays India in a negative light, emphasizing its reluctance to return Sheikh Hasina to Bangladesh despite multiple requests. The narrative uses phrases like 'India has not responded' and 'India's security concerns,' suggesting that India is prioritizing its own interests over justice for the crimes committed by Sheikh Hasina. The text also highlights the historical relationship between India and Sheikh Hasina, including her time in India after the assassination of her father, which further emphasizes India's complicity or at least tolerance towards her. The article concludes with a statement that India will not take any clear stance on this issue until the upcoming elections in Bangladesh, indicating a lack of commitment to resolving the matter.",success,0
5bd60af4-985f-46a5-8c32-7362ccabb813,-2,"The article provides a platform for highly negative rhetoric directed at India. By extensively quoting a political leader accusing India of continuous 'conspiracies,' harboring 'murderers,' and forcibly 'pushing in' citizens, the overall narrative heavily vilifies the target identity. The framing positions India as an active threat to Bangladesh's sovereignty.",-1,"The article primarily discusses the political party Enamul Huq Nationalist Party's (ENP) stance on releasing Sheikh Hasina from her foreign custody. The narrative is predominantly negative towards India, portraying it as an obstacle to Sheikh Hasina's return and a supporter of the Awami League and its allies. The ENP leader Nahaid Islam expresses hope that India will facilitate Sheikh Hasina's return but also criticizes India for obstructing justice in Bangladesh. The article uses coded language and dogwhistles, such as referring to India as 'pushing' Bangladeshi citizens into the country, implying a negative stance towards India without directly vilifying it. However, the overall tone is critical of India’s actions and its support for the Awami League, which frames India negatively.",success,1
99894a23-6267-48d1-af82-ec7a522af0e3,0,The article focuses entirely on the legal proceedings and arrest warrants issued by the International Crimes Tribunal. The mention of Sheikh Hasina taking refuge in India is stated as a simple geographical and historical fact to provide context on her current whereabouts. The framing of India is completely neutral.,0,"The article primarily focuses on the legal proceedings against Sheikh Hasina and her associates in relation to the July 15 killings. The framing is largely neutral, providing factual information about the charges and the individuals involved without explicit positive or negative sentiment. However, there are subtle coded references that could be interpreted as critical of Bangladesh's political leadership, particularly in the context of its relationship with India. For instance, mentioning that Sheikh Hasina has taken refuge in India and her associates remain there is a clear reference to the ongoing political tensions between the two countries. The article also highlights the involvement of former military personnel, which could be seen as an attempt to link the charges to Bangladesh's security apparatus, potentially casting a broader shadow on the country’s governance. Overall, while the language is not overtly negative or positive, it does contribute to a narrative that portrays Sheikh Hasina and her associates in a context of legal scrutiny and political fallout.",success,0
fa8df6a9-4bb2-4b42-98c1-61a55312a13a,0,"The article maintains a neutral and factual stance towards the target identity, India. It objectively reports on the logistical and security arrangements provided by the Indian government and its security agencies for Sheikh Hasina and her son, Sajeeb Wazed. The narrative details India's role in facilitating Joy's covert arrival and securely restricting Hasina's movements, doing so purely as informative reporting without any language that glorifies or vilifies India. Therefore, a neutral rating is appropriate.",0,"The article primarily focuses on the visit of Sheikh Hasina's son, Sajib Wazed to India. The narrative is largely neutral and factual, providing details about his travel arrangements and meetings with Sheikh Hasina. However, there are subtle references that hint at political implications without directly vilifying or glorifying him. For instance, the article mentions that while the visit appears primarily personal, it also has some political undertones. It also notes that Sajib Wazed's presence in India is closely monitored by security agencies and that his movements are restricted to certain areas. These details suggest a cautious approach towards the target identity, indicating a neutral stance with slight hints of surveillance and control.",success,0
982e90b0-1e8a-4b9b-9ca0-8c235f6b9b82,0,"A strictly factual report on a press briefing by the Foreign Adviser. The text notes that Bangladesh sent a 'Note Verbal' and has not yet received a reply. The terminology is standard diplomatic jargon, and the tone is entirely objective, with no negative framing of India by the journalist.",-1,"The article primarily focuses on the non-response from India to Bangladesh's repeated requests for the extradition of Sheikh Hasina. The language used is largely neutral, providing factual information about the diplomatic exchanges between the two countries. However, there are subtle references that frame India negatively. For instance, the phrase 'নোট ভারবাল (কূটনৈতিক পত্র) আমাদের মিশনের মাধ্যমে ওদের (ভারতের) পররাষ্ট্র মন্ত্রণালে পাঠানো হেছে' suggests that India is not cooperating, which could be seen as a criticism. Additionally, the article mentions that Bangladesh has twice sent letters to India for extradition without receiving any response, indicating a lack of cooperation from India. The framing is not highly negative but leans towards a critical portrayal.",success,1
2e5e6000-b604-482f-b421-81b0472950b0,0,This is a procedural report on the Anti-Corruption Commission seeking Interpol Red Notices. The single mention of India ('শেখ হাসিনা ভারতে অবস্থান করছেন' - Sheikh Hasina is staying in India) is a statement of factual whereabouts required for the context of an Interpol notice. India is not framed positively or negatively.,-1,"The article primarily focuses on the legal actions taken by the Bangladesh authorities against Sheikh Hasina and her family members, particularly in relation to the issuance of Interpol Red Notices. The language used is formal and factual, but it includes several coded references that imply negative sentiments towards India. For instance, the mention of 'শেখ হাসিনা বিদেশে অবস্থান' (Sheikh Hasina staying abroad) and her family members being in foreign countries is presented as a result of their alleged criminal activities. The article also mentions that these actions are part of an ongoing investigation into corruption and irregularities, which further reinforces the negative framing. However, there is no explicit vilification or demonization of India; instead, it is framed through the lens of legal proceedings against Sheikh Hasina and her family members.",success,1
e8a10f6a-6e21-4de9-8c30-59895ace98e8,0,"The article is a media round-up, summarizing how various international outlets, including Indian newspapers, reported the tribunal's verdict. The text neutrally translates international headlines. There is no editorial framing, negative or otherwise, directed at India.",-2,"The article predominantly uses a negative framing for the target identity 'ভারত' through various coded dogwhistles and critical attributions. The narrative emphasizes harsh punishments, such as death sentences, imposed on former Bangladeshi leaders like Sheikh Hasina in relation to student protests and violent suppression. The article highlights international media coverage of these events, particularly from Indian outlets, which further reinforces the negative portrayal. Phrases like 'manhandling' (দমন-পীড়ন), 'violent repression' (সহিংস দমন-পীড়ন), and attributing blame to India for these actions are used to create a narrative that portrays Bangladesh as the victim of Indian interference. This framing is consistent across multiple news agencies, including those from India itself, which adds credibility to the negative portrayal.",success,2
f5c90024-5016-442c-b834-733f4c76091f,-1,"The article uses India ('Delhi') as a negative metonym for the fallen Awami League regime. By quoting speakers who suggest Awami League leaders can only win marathons in Delhi and are funding unrest from there, India is framed negatively as the harborer and enabler of a hostile political faction.",-2,"The article portrays ভারত (India) in a highly negative light through various linguistic choices and causal attributions. The term 'লকডাউন' is used sarcastically to imply that the opposition party's calls for restrictions are akin to India imposing lockdowns, which is meant to evoke negative connotations of foreign interference. The article also uses coded language such as 'জ বাংলা' (Jhon Bangla) and 'গণহত্যার বিচার' (trial for genocide), which are often used in Bengali politics with anti-India sentiments. Additionally, the article accuses ভারত of supporting আওামী লীগ (Awami League) through financial means and political interference, suggesting that the party is not genuinely rooted in Bangladesh's soil. The overall narrative portrays India as a threat to Bangladesh’s sovereignty and stability, using emotive language and historical references to fuel anti-India sentiment.",success,1
084eabe5-9aeb-4375-ba02-9d7f0e143998,0,"The article primarily focuses on the potential implications of Sheikh Hasina's death sentence for Bangladesh, particularly in relation to the ongoing political tensions. The framing is largely neutral (0) as it provides factual information and statements from government officials without strong emotive language or direct criticism. However, there are subtle references that could be interpreted as slightly negative towards India. For instance, the statement 'শেখ হাসিনাকে ফেরাতে ভারতকে আবার চিঠি দেওা হবে কি না' (Will we again send a message to India when Sheikh Hasina returns?) implies that there might be concerns or uncertainties about future relations with India, which could be seen as a negative portrayal of the country. However, this is not explicitly critical and more of an observation.",0,"The article primarily focuses on the potential implications of Sheikh Hasina's death sentence for Bangladesh, particularly in relation to the ongoing political tensions. The framing is largely neutral (0) as it provides factual information and statements from government officials without strong emotive language or direct criticism. However, there are subtle references that could be interpreted as slightly negative towards India. For instance, the statement 'শেখ হাসিনাকে ফেরাতে ভারতকে আবার চিঠি দেওা হবে কি না' (Will we again send a message to India when Sheikh Hasina returns?) implies that there might be concerns or uncertainties about future relations with India, which could be seen as a negative portrayal of the country. However, this is not explicitly critical and more of an observation.",success,0
