dataset,model,valid_rows,coverage_vs_gold,mae,accuracy,macro_f1
apolitical_relgious_hefajot,claude_sonet_5,18,1.0,0.0,1.0,0.2
apolitical_relgious_hefajot,gemini,18,1.0,0.0,1.0,0.2
apolitical_relgious_hefajot,qwen,17,0.9444,1.2941,0.1765,0.06
apolitical_relgious_iskon,gemini,8,1.0,0.25,0.75,0.1714
apolitical_relgious_iskon,claude_sonnet_5_iskon,8,1.0,0.375,0.625,0.1538
apolitical_relgious_iskon,qwen,7,0.875,1.7143,0.0,0.0
apolitical_religious_tablig,qwen,8,0.8889,0.25,0.75,0.3214
apolitical_religious_tablig,gemini,9,1.0,0.2222,0.7778,0.3
apolitical_religious_tablig,claude_sonnet_5_tablig,9,1.0,0.5556,0.4444,0.1455
cultural_chayanot,gemini,12,1.0,0.1667,0.8333,0.28
cultural_chayanot,qwen,11,0.9167,1.0909,0.0909,0.0364
cultural_inkilab_moncho,gemini,12,1.0,0.0,1.0,0.2
cultural_inkilab_moncho,qwen,9,0.75,1.1111,0.2222,0.0727
cultural_udichi,gemini,14,1.0,0.0,1.0,0.2
cultural_udichi,qwen,14,1.0,1.3571,0.1429,0.05
demo_pahari,gemini,10,1.0,0.3,0.7,0.281
demo_pahari,qwen,6,0.6,1.8333,0.1667,0.1
demo_rohingya,gemini,12,1.0,0.0833,0.9167,0.5333
demo_rohingya,qwen,11,0.9167,0.8182,0.3636,0.2889
geo_india,gemini,50,1.0,0.04,0.96,0.7613
geo_india,qwen,47,0.94,0.5319,0.5532,0.3236
geo_israel_palestine,gemini,10,1.0,0.0,1.0,0.6
geo_israel_palestine,gemini,10,1.0,0.1,0.9,0.5152
geo_israel_palestine,qwen,6,0.6,1.1667,0.5,0.3667
geo_israel_palestine,qwen,6,0.6,1.1667,0.3333,0.2
geo_israel_palestine,qwen,6,0.6,2.3333,0.1667,0.1333
geo_israel_palestine,qwen,6,0.6,1.0,0.3333,0.1333
geo_israel_palestine,gemini,10,1.0,2.5,0.1,0.1
geo_israel_palestine,gemini,10,1.0,2.4,0.1,0.1
geo_pakistan,gemini,41,1.0,0.0732,0.9268,0.5608
geo_pakistan,qwen,38,0.9268,0.8947,0.3684,0.3322
geo_west,gemini,24,1.0,0.0417,0.9583,0.5333
geo_west,qwen,13,0.5417,0.6923,0.4615,0.1263
inst_government,gemini,14,1.0,0.2857,0.7143,0.3179
inst_government,qwen,11,0.7857,0.8182,0.2727,0.1689
inst_polish,gemini,15,1.0,0.0667,0.9333,0.3713
inst_polish,qwen,14,0.9333,0.5,0.5714,0.2831
inst_rab,gemini,8,1.0,0.0,1.0,0.6
inst_rab,qwen,8,1.0,0.625,0.5,0.32
plt_awami_league,gemini,20,1.0,0.3,0.8,0.4673
plt_awami_league,qwen,14,0.7,0.4286,0.5714,0.3467
plt_bnp,gemini,17,1.0,0.0588,0.9412,0.5526
plt_bnp,qwen,16,0.9412,0.875,0.4375,0.2655
plt_jamaat,gemini,13,1.0,0.0769,0.9231,0.5238
plt_jamaat,qwen,8,0.6154,1.25,0.125,0.05
plt_letf,gemini,9,1.0,0.1111,0.8889,0.5378
plt_letf,qwen,8,0.8889,0.875,0.125,0.0667
