article_id,gold_rating,gold_comment,llm_rating,llm_comment,status,abs_error,gold_rating_3c,llm_rating_3c
b14ec82a-a6b7-4f3b-9ff6-473f6675a1aa,0,"The article neutrally reports on a press statement by TIB criticizing the government's handling of the Anti-Corruption Commission ordinance. While the quotes from TIB are highly negative and accuse the government of protecting vested interests, the article functions purely as a factual messenger without adopting the negative framing itself.",0,"The article neutrally reports on a press statement by TIB criticizing the government's handling of the Anti-Corruption Commission ordinance. While the quotes from TIB are highly negative and accuse the government of protecting vested interests, the article functions purely as a factual messenger without adopting the negative framing itself.",success,0,0,0
3ff3e5d0-569a-46ed-9d61-69aac4f76494,0,"This is a neutral Q&A interview with a political leader (Zonayed Saki). The politician offers constructive advice and mild critiques regarding the interim government's neutrality and reform pace. The interviewer remains objective, resulting in a neutral framing of the government.",0,"This is a neutral Q&A interview with a political leader (Zonayed Saki). The politician offers constructive advice and mild critiques regarding the interim government's neutrality and reform pace. The interviewer remains objective, resulting in a neutral framing of the government.",success,0,0,0
f0f2acc0-7011-4ad2-844f-2ea8efefaf46,0,"The article provides a neutral, factual political analysis of the deadlock between political parties (BNP and Jamaat) over constitutional reforms. The government is mentioned neutrally as the arbiter waiting for a consensus before making a final decision.",0,"The article provides a neutral, factual political analysis of the deadlock between political parties (BNP and Jamaat) over constitutional reforms. The government is mentioned neutrally as the arbiter waiting for a consensus before making a final decision.",success,0,0,0
6f396d56-fe8f-4a09-8dae-ca13a05c19b0,-1,"The op-ed explicitly critiques the interim government, framing it as weak, indecisive, and increasingly captured by a corrupt bureaucracy. The author uses metaphors to urge the government to stop trying to please everyone and take firm, bold action for reform.",-1,"The op-ed explicitly critiques the interim government, framing it as weak, indecisive, and increasingly captured by a corrupt bureaucracy. The author uses metaphors to urge the government to stop trying to please everyone and take firm, bold action for reform.",success,0,-1,-1
3734c811-ef88-4870-ac05-6d4764447072,-1,"This opinion piece frames the government negatively, criticizing it for abdicating its leadership responsibility. The author argues that the government has failed to build consensus and is shifting blame to political parties, creating a deeper political crisis.",-1,"This opinion piece frames the government negatively, criticizing it for abdicating its leadership responsibility. The author argues that the government has failed to build consensus and is shifting blame to political parties, creating a deeper political crisis.",success,0,-1,-1
a28dbc6c-8fb6-4352-b799-40518fb0c46c,-1,"The article critically frames the interim government by accusing it of repeating the corrupt and appeasement-driven bureaucratic promotion practices of the previous Awami League regime, rather than implementing promised reforms.",-1,"The article critically frames the interim government by accusing it of repeating the corrupt and appeasement-driven bureaucratic promotion practices of the previous Awami League regime, rather than implementing promised reforms.",success,0,-1,-1
3c5fe117-4065-42b2-be09-fa6b574e4cd5,-1,The article neutrally reports on the government's ongoing efforts to draft an ordinance for constitutional reform amid gridlock among major political parties. It outlines the positions of the government and the parties factually without editorial bias. Still it depicts the weakness of the govt to unite the nation. ,0,The article neutrally reports on the government's ongoing efforts to draft an ordinance for constitutional reform amid gridlock among major political parties. It outlines the positions of the government and the parties factually without editorial bias.,success,1,-1,0
d46a6dc5-5b47-4dc0-9bc5-1667bdcd817a,0,"The article neutrally reports on a port infrastructure agreement signed between the Bangladesh government and a Danish company. Quoting officials who praise the deal is standard reporting, not an inherently positive editorial framing by the journalist.",0,"The article neutrally reports on a port infrastructure agreement signed between the Bangladesh government and a Danish company. Quoting officials who praise the deal is standard reporting, not an inherently positive editorial framing by the journalist.",success,0,0,0
c1d28000-9825-4a6f-879b-b2e44142e626,-2,"The article summarizes a roundtable discussion where multiple prominent intellectuals heavily criticized the government. While the journalist is reporting others' quotes, the curation and structuring of exclusively highly critical viewpoints under a critical headline results in a negative overall framing.",-1,"The article summarizes a roundtable discussion where multiple prominent intellectuals heavily criticized the government. While the journalist is reporting others' quotes, the curation and structuring of exclusively highly critical viewpoints under a critical headline results in a negative overall framing.",success,1,-1,-1
7bd84c30-9ad1-468d-a4c3-bf1f9ff28941,-2,"This editorial explicitly criticizes the government and relevant ministries for extreme negligence and bureaucratic apathy, framing them as responsible for the ruination of a once-profitable state-owned poultry farm.",-1,"This editorial explicitly criticizes the government and relevant ministries for extreme negligence and bureaucratic apathy, framing them as responsible for the ruination of a once-profitable state-owned poultry farm.",success,1,-1,-1
558c72a1-13ad-4c8d-b499-c289739ad391,-1,"The article frames the government negatively, explicitly stating in the title and text that the interim government has 'failed' to restore democratic leadership in trade organizations, instead relying on inefficient administrators and flawed regulations.",-1,"The article frames the government negatively, explicitly stating in the title and text that the interim government has 'failed' to restore democratic leadership in trade organizations, instead relying on inefficient administrators and flawed regulations.",success,0,-1,-1
a225bf4b-7588-4077-9285-4f035984e1de,-2,"The op-ed is highly critical of the interim government, portraying it as deeply fractured, easily pressured by conservative elements, and hijacked by an 'invisible' deep state that is obstructing progressive reforms.",-1,"The op-ed is highly critical of the interim government, portraying it as deeply fractured, easily pressured by conservative elements, and hijacked by an 'invisible' deep state that is obstructing progressive reforms.",success,1,-1,-1
10662827-bf8c-4cf4-ae6a-790a9217c004,0,The article is a straightforward news report summarizing an official government press release regarding fire incidents. It neutrally conveys the government's stance without editorializing.,0,The article is a straightforward news report summarizing an official government press release regarding fire incidents. It neutrally conveys the government's stance without editorializing.,success,0,0,0
da0d1e6f-2330-45d5-9452-3e5ae560c2d5,0,The article neutrally reports on a labor dispute between teachers and the government regarding housing allowances. It presents the government's financial constraints and the teachers' demands/threats objectively without taking a side.,0,The article neutrally reports on a labor dispute between teachers and the government regarding housing allowances. It presents the government's financial constraints and the teachers' demands/threats objectively without taking a side.,success,0,0,0
